year,Zip,City,State,orders,revenue
2020,125006,Hisar,Haryana,2,3600.0
2020,125033,Hisar,Haryana,1,1400.0
2020,125047,Hisar,Haryana,1,1200.0
2020,125048,Fatehabad,Haryana,1,1200.0
2020,125050,Fatehabad,Haryana,10,12990.0
2020,125051,Fatehabad,Haryana,1,1800.0
2020,125055,Sirsa,Haryana,9,14000.0
2020,125075,Sirsa,Haryana,1,1400.0
2020,125076,Sirsa,Haryana,2,3200.0
2020,125101,Sirsa,Haryana,1,1200.0
2020,125102,Sirsa,Haryana,3,4200.0
2020,125103,Sirsa,Haryana,1,1900.0
2020,125104,Sirsa,Haryana,2,3000.0
2020,125113,Fatehabad,Haryana,1,1800.0
2020,125120,Fatehabad,Haryana,1,1200.0
2020,126102,Jind,Haryana,4,6400.0
2020,126112,Jind,Haryana,2,2400.0
2020,126116,Jind,Haryana,2,3000.0
2020,127021,Bhiwani,Haryana,4,7580.0
2020,127031,Bhiwani,Haryana,1,1800.0
2020,127040,Bhiwani,Haryana,1,1900.0
2020,127201,Bhiwani,Haryana,1,1400.0
2020,127306,Bhiwani,Haryana,3,5000.0
2020,131001,Sonipat,Haryana,26,39490.0
2020,131021,Sonipat,Haryana,3,4300.0
2020,131029,Sonipat,Haryana,4,6100.0
2020,131101,Sonipat,Haryana,1,1990.0
2020,131301,Sonipat,Haryana,1,1400.0
2020,131302,Sonipat,Haryana,1,1200.0
2020,132001,Karnal,Haryana,22,36600.0
2020,132023,Karnal,Haryana,1,1200.0
2020,132024,Karnal,Haryana,1,1800.0
2020,132039,Karnal,Haryana,1,1800.0
2020,132040,Karnal,Haryana,1,1800.0
2020,132101,Panipat,Haryana,1,1800.0
2020,132103,Panipat,Haryana,27,40300.0
2020,132105,Panipat,Haryana,1,1800.0
2020,132106,Panipat,Haryana,1,1200.0
2020,132108,Panipat,Haryana,1,1200.0
2020,132113,Panipat,Haryana,1,1400.0
2020,132114,Karnal,Haryana,1,1200.0
2020,132116,Karnal,Haryana,3,5400.0
2020,132117,Karnal,Haryana,2,3600.0
2020,132140,Panipat,Haryana,1,1990.0
2020,133001,Ambala,Haryana,18,27400.0
2020,133201,Ambala,Haryana,1,1400.0
2020,133207,Ambala,Haryana,1,1800.0
2020,133302,Panchkula,Haryana,2,3700.0
2020,134003,Ambala,Haryana,12,18800.0
2020,134007,Ambala,Haryana,2,3000.0
2020,134102,Panchkula,Haryana,6,9800.0
2020,134104,Panchkula,Haryana,2,4100.0
2020,134105,Panchkula,Haryana,1,1200.0
2020,134108,Panchkula,Haryana,1,1800.0
2020,134109,Panchkula,Haryana,14,19082.0
2020,134112,Panchkula,Haryana,10,14200.0
2020,134113,Panchkula,Haryana,6,9390.0
2020,134114,Panchkula,Haryana,1,1200.0
2020,134116,Panchkula,Haryana,3,3800.0
2020,134117,Panchkula,Haryana,3,5400.0
2020,134118,Panchkula,Haryana,1,1800.0
2020,134202,Ambala,Haryana,1,1400.0
2020,135001,Yamuna Nagar,Haryana,22,35090.0
2020,135002,Yamuna Nagar,Haryana,3,5400.0
2020,135003,Yamuna Nagar,Haryana,5,8290.0
2020,135102,Yamuna Nagar,Haryana,3,4900.0
2020,135133,Ambala,Haryana,1,1200.0
2020,136026,Kaithal,Haryana,1,1800.0
2020,136027,Kaithal,Haryana,9,14500.0
2020,136034,Kaithal,Haryana,1,1400.0
2020,136117,Kaithal,Haryana,1,1400.0
2020,136118,Kurukshetra,Haryana,14,21300.0
2020,136119,Kurukshetra,Haryana,2,3390.0
2020,136128,Kurukshetra,Haryana,2,3790.0
2020,136130,Kurukshetra,Haryana,1,1400.0
2020,136132,Kurukshetra,Haryana,2,3000.0
2020,136135,Kurukshetra,Haryana,1,1400.0
2020,136156,Kurukshetra,Haryana,1,1600.0
2020,140001,Rupnagar,Punjab,4,6000.0
2020,140055,Chandigarh,Chandigarh,1,1200.0
2020,140071,Khamano,Punjab,1,1800.0
2020,140103,Rupnagar,Punjab,2,3000.0
2020,140110,Mohali,Punjab,2,3000.0
2020,140111,Rupnagar,Punjab,2,2.0
2020,140113,Rupnagar,Punjab,1,1800.0
2020,140115,Ropar,Punjab,1,1200.0
2020,140117,Rupnagar,Punjab,1,1400.0
2020,140119,Chandigarh,Chandigarh,1,1200.0
2020,140124,Rupnagar,Punjab,5,8200.0
2020,140133,Chandigarh,Chandigarh,2,2.0
2020,140301,Rupnagar,Punjab,27,42800.0
2020,140306,Rupnagar,Punjab,1,0.0
2020,140307,Rupnagar,Punjab,4,7400.0
2020,140308,Rupnagar,Punjab,8,13000.0
2020,140401,Patiala,Punjab,6,9500.0
2020,140406,Fatehgarh Sahib,Punjab,3,2900.0
2020,140412,Fatehgarh Sahib,Punjab,1,1800.0
2020,140417,Fatehgarh Sahib,Punjab,1,1400.0
2020,140507,Mohali,Punjab,4,6190.0
2020,140603,Chandigarh,Chandigarh,25,35560.0
2020,140604,Mohali,Punjab,1,1800.0
2020,140901,Rupnagar,Punjab,2,2600.0
2020,141001,Ludhiana,Punjab,33,50245.0
2020,141002,Ludhiana,Punjab,6,10400.0
2020,141003,Ludhiana,Punjab,15,22000.0
2020,141004,Ludhiana,Punjab,2,3200.0
2020,141006,Ludhiana,Punjab,3,4000.0
2020,141007,Ludhiana,Punjab,5,7400.0
2020,141008,Ludhiana,Punjab,13,21960.0
2020,141010,Ludhiana,Punjab,7,11600.0
2020,141012,Ludhiana,Punjab,3,4590.0
2020,141013,Ludhiana,Punjab,5,6800.0
2020,141014,Ludhiana,Punjab,1,1800.0
2020,141015,Ludhiana,Punjab,1,1800.0
2020,141016,Ludhiana,Punjab,1,1800.0
2020,141102,Ludhiana,Punjab,1,1200.0
2020,141105,Ludhiana,Punjab,1,1990.0
2020,141106,Ludhiana,Punjab,1,1800.0
2020,141108,Ludhiana,Punjab,1,1200.0
2020,141109,Ludhiana,Punjab,2,2800.0
2020,141114,Ludhiana,Punjab,1,1600.0
2020,141115,Ludhiana,Punjab,2,2400.0
2020,141116,Ludhiana,Punjab,8,13490.0
2020,141117,Ludhiana,Punjab,2,2800.0
2020,141123,Ludhiana,Punjab,1,1700.0
2020,141202,Ludhiana,Punjab,1,1800.0
2020,141206,Ludhiana,Punjab,1,1200.0
2020,141401,Ludhiana,Punjab,2,3000.0
2020,142001,Moga,Punjab,8,12400.0
2020,142021,Ludhiana,Punjab,1,1200.0
2020,142022,Ludhiana,Punjab,1,2900.0
2020,142023,Ludhiana,Punjab,3,5500.0
2020,142026,Ludhiana,Punjab,3,4800.0
2020,142027,Ludhiana,Punjab,4,5400.0
2020,142030,Ludhiana,Punjab,1,1800.0
2020,142033,Ludhiana,Punjab,1,1800.0
2020,142035,Ludhiana,Punjab,1,1400.0
2020,142037,Moga,Punjab,1,1400.0
2020,142038,Moga,Punjab,1,1200.0
2020,142044,Firozpur,Punjab,1,1200.0
2020,142047,Firozpur,Punjab,3,3800.0
2020,142049,Moga,Punjab,1,1400.0
2020,142051,Amritsar,Punjab,2,2400.0
2020,142052,Firozpur,Punjab,1,1200.0
2020,142221,Kharar,Jammu & Kashmir,1,1200.0
2020,143001,Amritsar,Punjab,49,75480.0
2020,143002,Amritsar,Punjab,2,3100.0
2020,143004,Khamano,Punjab,2,3000.0
2020,143006,Amritsar,Punjab,1,1400.0
2020,143008,Amritsar,Punjab,2,2600.0
2020,143010,Amritsar,Punjab,1,1400.0
2020,143022,Amritsar,Punjab,1,1700.0
2020,143102,Amritsar,Punjab,1,1200.0
2020,143105,Amritsar,Punjab,1,1200.0
2020,143108,Amritsar,Punjab,1,1800.0
2020,143110,Amritsar,Punjab,1,1200.0
2020,143112,Amritsar,Punjab,3,4200.0
2020,143115,Amritsar,Punjab,1,1990.0
2020,143117,Amritsar,Punjab,1,1800.0
2020,143202,Amritsar,Punjab,1,1200.0
2020,143259,Amritsar,Punjab,1,1400.0
2020,143416,Amritsar,Punjab,1,1200.0
2020,143422,Tarn Taran,Punjab,3,4800.0
2020,143501,Amritsar,Punjab,2,3600.0
2020,143505,Gurdaspur,Punjab,8,11990.0
2020,143517,Gurdaspur,Punjab,1,1200.0
2020,143519,Gurdaspur,Punjab,1,1400.0
2020,143521,Gurdaspur,Punjab,8,11999.0
2020,143530,Gurdaspur,Punjab,1,1800.0
2020,143531,Gurdaspur,Punjab,1,1990.0
2020,143532,Gurdaspur,Punjab,2,2600.0
2020,144001,Jalandhar,Punjab,29,40853.0
2020,144002,Jalandhar,Punjab,3,4800.0
2020,144003,Jalandhar,Punjab,6,8800.0
2020,144004,Jalandhar,Punjab,5,7400.0
2020,144005,Jalandhar,Punjab,12,18600.0
2020,144008,Jalandhar,Punjab,5,7800.0
2020,144009,Jalandhar,Punjab,1,1990.0
2020,144010,Jalandhar,Punjab,1,1900.0
2020,144012,Jalandhar,Punjab,3,4600.0
2020,144014,Amritsar,Punjab,1,1400.0
2020,144022,Jalandhar,Punjab,6,8200.0
2020,144023,Jalandhar,Punjab,1,1800.0
2020,144024,Jalandhar,Punjab,1,1800.0
2020,144037,Jalandhar,Punjab,1,1200.0
2020,144039,Jalandhar,Punjab,5,8000.0
2020,144040,Jalandhar,Punjab,4,7390.0
2020,144102,Jalandhar,Punjab,5,6600.0
2020,144105,Hoshiarpur,Punjab,3,3600.0
2020,144201,Jalandhar,Punjab,1,1400.0
2020,144204,Hoshiarpur,Punjab,2,2400.0
2020,144205,Hoshiarpur,Punjab,3,5090.0
2020,144208,Hoshiarpur,Punjab,1,1800.0
2020,144210,Hoshiarpur,Punjab,1,1800.0
2020,144211,Hoshiarpur,Punjab,6,11150.0
2020,144216,Hoshiarpur,Punjab,2,3600.0
2020,144221,Hoshiarpur,Punjab,3,4400.0
2020,144301,Jalandhar,Punjab,1,1200.0
2020,144306,Hoshiarpur,Punjab,1,1800.0
2020,144401,Kapurthala,Punjab,14,21900.0
2020,144402,Kapurthala,Punjab,1,1400.0
2020,144403,Kapurthala,Punjab,1,1800.0
2020,144409,Jalandhar,Punjab,1,1200.0
2020,144410,Jalandhar,Punjab,2,2400.0
2020,144411,Kapurthala,Punjab,1,1200.0
2020,144417,Jalandhar,Punjab,2,2800.0
2020,144418,Jalandhar,Punjab,2,3200.0
2020,144502,Jalandhar,Punjab,1,1200.0
2020,144504,Nawanshahr,Punjab,1,1800.0
2020,144505,Nawanshahr,Punjab,2,3500.0
2020,144507,Nawanshahr,Punjab,1,1800.0
2020,144512,Nawanshahr,Punjab,1,1200.0
2020,144514,Nawanshahr,Punjab,4,6400.0
2020,144517,Nawanshahr,Punjab,1,1200.0
2020,144527,Hoshiarpur,Punjab,3,3800.0
2020,144529,Hoshiarpur,Punjab,1,1200.0
2020,144601,Kapurthala,Punjab,13,19590.0
2020,144621,Kapurthala,Punjab,2,3390.0
2020,144628,Kapurthala,Punjab,1,1900.0
2020,144629,Kapurthala,Punjab,2,2800.0
2020,144632,Kapurthala,Punjab,1,1400.0
2020,144701,Jalandhar,Punjab,3,4600.0
2020,144702,Kapurthala,Punjab,2,2400.0
2020,144801,Jalandhar,Punjab,1,1800.0
2020,144805,Jalandhar,Punjab,1,1990.0
2020,145001,Gurdaspur,Punjab,16,23490.0
2020,145023,Gurdaspur,Punjab,2,3600.0
