month_num,avg_sales_cr,clinics,avg_sales_l
0,0.08755995409836065,61,8.755995409836064
1,0.1739943360655738,61,17.39943360655738
2,0.22187131918644068,59,22.187131918644067
3,0.2621356821551724,58,26.213568215517242
4,0.2958104174107143,56,29.581041741071427
5,0.31179565429629635,54,31.179565429629637
6,0.3230669578653846,52,32.306695786538455
7,0.33604907874999995,48,33.604907874999995
8,0.3651430794883721,43,36.514307948837214
9,0.34649392149999997,40,34.64939215
10,0.34488520408571427,35,34.488520408571425
11,0.32669590293548384,31,32.66959029354838
12,0.30753699615384616,26,30.753699615384615
13,0.3270229363636364,22,32.70229363636364
14,0.31987454210526317,19,31.987454210526316
15,0.36013842928571427,14,36.01384292857143
16,0.35660767272727273,11,35.66076727272727
17,0.39549626250000003,8,39.54962625
18,0.33789508571428567,7,33.78950857142857
19,0.29254791999999996,5,29.254791999999995
20,0.34875049999999996,3,34.875049999999995
21,0.436125,2,43.6125
22,0.27893,2,27.893
23,0.48,1,48.0
24,0.457,1,45.7
25,0.554,1,55.400000000000006
26,0.4714,1,47.14
27,0.501461,1,50.146100000000004
28,0.1978706,1,19.78706
