pin_int,unique_1cx,total_orders,total_revenue
142221,1,1,1200.0
143000,1,1,2074.0
143001,897,985,1625704.04
143002,32,34,57619.8
143003,4,4,8145.0
143004,2,2,3000.0
143005,7,7,14212.0
143006,32,33,45129.0
143007,1,1,875.0
143008,18,18,36017.35
143009,6,8,12254.0
143010,1,1,1400.0
143022,10,10,13978.0
143101,24,29,51121.1
143102,32,33,64575.15
143103,8,8,18308.0
143104,3,3,1858.0
143105,62,72,126755.5
143106,1,1,699.0
143107,7,8,16603.0
143108,12,12,21503.0
143109,8,9,21048.0
143110,6,6,11279.0
143111,13,14,21862.1
143112,25,31,48064.0
143113,4,5,9539.0
143114,18,18,28587.0
143115,28,32,51423.2
143116,6,6,11385.0
143117,9,9,21523.0
143118,5,6,3879.0
143119,11,11,15555.0
143149,9,12,30995.0
143201,15,16,34933.0
143202,10,11,14411.0
143203,10,10,17523.1
143204,7,7,7592.0
143205,6,7,9679.0
143259,1,1,1400.0
143301,12,13,23788.0
143302,6,6,13645.0
143303,10,11,20325.1
143304,3,3,3655.0
143305,7,7,18915.0
143401,74,80,148341.3
143402,1,1,2075.0
143406,2,2,4615.0
143407,7,8,13538.15
143408,6,6,10890.0
143409,6,6,17074.0
143410,6,6,13044.0
143411,3,4,5759.0
143412,2,2,4684.0
143413,4,4,6429.0
143414,2,2,4339.0
143415,3,5,5649.0
143416,48,51,86270.1
143419,13,14,33304.0
143422,11,12,22261.0
143501,30,30,57494.3
143502,14,16,30473.2
143503,1,1,1860.0
143504,5,5,8849.0
143505,137,154,271937.65
143506,13,14,29557.2
143507,13,14,21022.0
143511,12,13,23388.0
143512,4,4,6330.0
143513,2,2,3598.0
143514,12,12,31929.0
143515,9,10,18323.1
143516,33,38,65062.0
143517,8,8,23294.0
143518,15,18,30929.0
143519,30,31,47195.15
143520,9,10,14243.0
143521,114,127,218169.55
143526,3,3,4474.0
143527,15,17,28832.0
143528,19,21,35892.0
143529,8,8,15356.0
143530,22,25,41153.0
143531,37,38,71085.2
143532,6,6,9460.0
143533,6,6,12024.0
143534,18,18,33634.0
143550,1,1,6700.0
143601,18,20,31087.5
143602,17,19,44362.0
143603,17,18,36108.0
143604,25,27,41632.3
143605,16,16,22805.0
143606,6,6,14858.0
144001,386,422,752817.45
144002,96,110,182572.15
144003,167,181,297353.75
144004,68,74,137059.3
144005,116,125,222656.5
144006,20,20,43648.0
144007,38,40,75329.3
144008,118,127,232332.6
144009,52,56,103435.0
144010,5,6,9372.0
144011,6,6,8864.0
144012,19,21,33787.15
144013,6,7,12503.0
144014,5,5,7360.0
144020,21,22,44802.0
144021,41,45,72643.3
144022,95,104,170837.25
144023,27,31,66709.1
144024,24,27,36085.3
144025,10,10,18430.0
144026,21,27,52013.1
144027,4,6,7748.0
144028,3,3,2253.0
144029,3,3,8079.87
144030,7,9,18192.5
144031,3,3,4385.0
144033,6,7,11503.0
144034,3,4,11250.0
144035,3,3,5190.0
144036,20,21,51863.3
144037,6,8,9234.0
144039,26,28,56612.1
144040,50,53,116344.2
144041,13,14,19081.1
144042,3,3,3214.0
144043,1,1,3875.0
144044,1,2,1476.0
144046,1,1,1695.0
144101,8,9,13130.5
144102,39,46,90679.0
144103,10,10,18139.0
144104,1,1,1415.0
144105,12,13,19345.0
144106,5,6,6645.0
144108,1,1,720.0
144201,33,36,63753.1
144202,14,14,22453.0
144203,6,6,17035.0
144204,35,42,67367.2
144205,92,100,175861.1
144206,2,2,2604.15
144207,18,19,31683.1
144208,14,15,28590.0
144210,10,10,16589.16
144211,59,65,109095.0
144212,12,12,29384.0
144213,4,5,10115.0
144214,7,7,13166.0
144216,23,29,44961.2
144221,28,30,57008.0
144222,7,7,14624.0
144223,5,6,12950.0
144224,3,3,3704.0
144301,11,11,18188.0
144302,3,3,8050.0
144303,5,5,3605.0
144305,4,4,9049.0
144306,11,11,32904.0
144311,2,2,2840.0
144401,127,143,229287.45
144402,30,34,66531.0
144403,10,10,20519.0
144404,3,3,8584.1
144405,2,2,6775.0
144406,3,3,5265.0
144407,6,6,13709.0
144408,3,5,7827.5
144409,23,26,41471.0
144410,33,34,70093.2
144411,22,25,38208.15
144416,9,10,13074.0
144417,6,7,12780.0
144418,6,6,11375.0
144419,1,1,699.0
144421,2,2,3575.0
144422,2,2,1664.0
144501,5,5,17793.0
144502,11,11,23189.15
144503,2,2,5674.0
144504,7,7,9670.0
144505,44,45,97262.0
144506,1,1,3300.0
144507,6,6,10800.0
144508,2,2,2629.0
144509,1,2,5875.0
144510,3,3,3550.0
144511,4,5,9824.0
144512,2,2,2805.0
144513,5,7,20409.0
144514,75,84,142232.1
144515,10,11,22488.0
144516,5,7,16478.0
144517,18,18,30887.0
144518,4,4,8649.0
144519,8,9,14859.1
144520,2,2,7728.0
144521,23,23,36378.0
144522,6,7,9088.1
144523,3,3,6775.0
144524,9,11,17223.7
144525,6,8,7140.0
144526,8,8,23528.0
144527,35,39,63313.1
144528,4,5,9700.0
144529,13,15,26649.0
144530,1,1,2965.0
144531,2,2,4850.0
144532,2,2,2599.0
144533,3,4,1594.0
144601,189,209,360231.8
144602,28,33,67914.3
144603,1,1,2050.0
144606,2,2,6570.0
144620,18,19,41577.0
144621,20,21,47826.0
144622,12,16,23959.0
144623,9,10,19230.0
144624,8,10,23528.15
144625,3,3,4913.0
144626,32,36,67850.15
144628,5,5,9483.0
144629,18,18,28591.0
144630,7,7,11203.0
144631,7,7,16289.0
144632,9,10,17789.0
144633,1,1,1400.0
144701,11,11,16639.0
144702,28,30,60970.0
144703,3,3,5204.0
144801,27,29,45823.0
144802,5,5,9403.0
144803,2,2,8349.0
144804,13,15,28037.15
144805,7,8,14235.0
144806,3,3,6679.0
144819,8,8,11229.0
145001,278,301,526174.9
145022,2,2,2874.0
145023,38,40,81113.0
145024,6,6,13875.0
145025,34,35,69895.15
145026,10,10,15928.0
145027,1,1,1870.0
145029,4,4,9040.0
145101,11,13,21072.0
146001,261,299,517459.95
146002,5,6,10298.0
146009,1,1,2900.0
146021,5,5,9252.0
146022,11,12,20339.15
146023,11,12,29564.0
146024,2,2,4365.0
146101,4,5,6919.0
146102,8,9,17194.0
146103,6,6,13165.0
146104,6,6,10874.0
146105,26,27,47685.0
146106,1,1,965.0
146107,1,1,2374.0
146108,1,1,699.0
146109,2,2,2059.0
146110,2,3,2850.0
146111,5,5,12800.0
146112,7,7,18540.0
146113,12,13,22978.0
146114,4,5,10324.0
146115,3,4,4340.0
146116,3,3,7648.0
146401,1,1,2375.0
146405,1,1,799.0
146601,1,1,2275.0
146603,1,2,3600.0
147001,502,549,944488.4
147002,88,104,185128.0
147003,21,24,35914.1
147004,28,32,53034.1
147005,4,4,7565.0
147006,1,1,1465.0
147021,6,6,12863.0
147101,47,55,98951.25
147102,8,8,15299.0
147103,14,14,25469.0
147104,4,4,7885.0
147105,36,39,89711.1
147111,12,13,21182.0
147201,73,79,136384.1
147202,8,8,17319.0
147203,19,22,47573.4
147301,86,90,147738.95
148000,1,1,1465.0
148001,105,120,216315.04
148019,1,1,1388.0
148020,9,10,14374.0
148021,16,18,26661.0
148022,1,2,1463.0
148023,65,70,139183.2
148024,52,55,112047.2
148025,3,4,7900.0
148026,17,20,36927.15
148027,5,5,7688.05
148028,29,31,61324.2
148029,2,2,2964.0
148030,1,1,965.0
148031,13,14,23366.74
148033,8,9,16724.0
148034,1,1,1600.0
148035,10,10,18858.1
148100,3,3,5364.0
148101,118,130,206783.05
148102,11,13,33263.0
148103,7,8,13455.0
148104,7,7,16524.0
148105,5,5,7954.1
148106,17,17,31934.15
148107,4,5,9350.0
148108,3,3,6500.0
148109,3,3,7009.0
148805,1,2,7700.0
150059,1,1,3400.0
151001,297,323,582949.95
151002,6,8,16925.0
151003,4,4,3104.1
151004,17,19,40498.1
151005,17,19,33148.15
151101,14,15,22807.0
151102,6,8,12380.0
151103,28,29,52076.1
151104,2,2,5395.0
151106,2,2,4475.0
151107,1,1,1565.0
151108,3,3,9039.0
151111,10,11,26845.0
151201,21,24,41691.0
151202,10,11,21113.0
151203,100,111,186249.9
151204,65,68,128571.15
151205,2,2,3565.0
151206,7,7,19273.0
151207,3,3,2975.0
151208,6,8,17517.5
151209,3,3,5229.1
151210,5,6,12574.0
151211,4,4,10290.0
151212,15,15,25957.0
151301,19,20,33035.25
151302,9,10,17069.0
151401,12,14,23018.1
151501,5,7,10577.0
151502,20,20,34338.15
151503,2,2,4765.0
151504,7,8,21353.0
151505,53,57,105877.3
151506,11,12,22739.1
151507,11,11,20568.0
151508,4,4,9230.0
151509,22,24,47112.15
151510,4,4,7659.0
152001,63,69,114053.52
152002,79,85,149742.6
152003,8,9,20924.0
152004,11,12,23215.0
152005,2,2,2894.0
152021,13,16,25788.15
152022,15,17,28489.0
152023,11,11,16097.0
152024,27,27,54180.0
152025,12,13,26128.0
152026,80,86,138066.1
152028,3,3,6465.0
152031,3,3,3964.0
152032,6,6,11854.0
152101,25,25,48981.0
152107,52,54,97244.0
152108,1,1,2889.15
152112,1,1,1475.0
152113,3,3,3249.0
152114,2,2,4730.0
152115,1,1,764.0
152116,83,87,150017.9
152118,1,1,1365.0
152121,4,4,6725.0
152122,6,7,12828.0
152123,55,62,107167.0
152124,7,9,19903.0
152128,5,5,8544.1
152132,4,5,4988.0
160001,27,30,55117.15
160002,74,82,122302.0
160003,36,41,59636.1
160004,3,3,4353.0
160006,1,1,560.0
160008,5,5,4324.0
160009,47,52,78111.25
160010,3,3,9180.0
160011,25,28,55764.2
160012,21,21,37096.35
160013,2,2,3115.0
160014,121,130,247448.34
160015,54,63,107128.0
160016,5,7,7700.4
160017,51,56,93766.64
160018,21,24,44247.0
160019,94,104,170957.58
160020,63,72,132704.05
160021,4,6,11649.0
160022,158,176,300968.5
160023,40,44,78587.0
160025,19,20,44479.15
160026,1,1,2965.0
160027,1,1,800.0
160028,2,2,4229.1
160029,3,4,2873.0
160030,60,65,109006.15
160031,1,1,1200.0
160032,3,4,5659.0
160034,2,3,6739.1
160035,10,10,24878.0
160036,265,299,540621.24
160037,2,2,2909.0
160038,1,1,5900.0
160040,1,1,149.5
160042,2,3,3760.0
160043,1,1,2000.0
160044,4,4,5414.0
160045,1,1,2700.0
160047,237,258,450705.09
160049,2,3,4238.0
160053,1,1,1800.0
160054,1,2,3200.0
160055,211,239,451239.05
160056,1,1,999.0
160057,2,2,5475.0
160059,154,174,295842.55
160060,3,3,9390.0
160061,6,6,16295.0
160062,277,309,541753.3
160063,2,3,2174.0
160064,3,3,5790.0
160065,6,6,8984.0
160066,8,10,20725.0
160067,1,1,299.0
160068,1,1,0.0
160069,5,6,8609.1
160070,6,7,7974.0
160071,162,184,315371.05
160072,5,7,12240.0
160074,1,1,1440.0
160101,136,153,293605.84
160102,15,16,31309.0
160103,82,96,161582.3
160104,96,107,185179.3
170001,1,1,1865.0
171001,114,124,209330.4
171002,44,51,73924.05
171003,34,35,71068.1
171004,26,30,59465.8
171005,45,50,62397.6
171006,99,102,208564.4
171007,2,3,2174.0
171008,7,9,19603.1
171009,152,172,304978.0
171010,13,14,20456.1
171011,34,35,61581.1
171012,20,21,35320.0
171013,3,3,6425.0
171014,1,1,1075.0
171018,2,2,6395.0
171102,12,14,18882.0
171103,6,6,12620.0
171201,27,28,55160.1
171202,30,35,60247.1
171203,1,1,3420.0
171204,1,1,3865.0
171205,15,17,27745.0
171206,26,27,68650.0
171207,59,63,118218.45
171208,13,13,19281.0
171209,6,7,17323.0
171210,21,21,43473.0
171211,19,19,51189.0
171212,5,5,6574.0
171213,7,7,8973.0
171215,2,2,1528.0
171216,1,1,2900.0
171217,4,4,8485.0
171218,3,3,4073.2
171219,10,10,20492.0
171220,2,2,3675.0
171222,1,1,2475.0
171223,1,1,5075.0
171225,3,3,5073.0
171301,7,9,8614.0
171302,1,1,1800.0
171304,1,1,1430.0
171521,1,1,2575.0
171550,1,1,1445.0
172001,85,90,161212.1
172002,1,1,2900.0
172021,1,1,1299.0
172023,7,9,19700.0
