Clinic Loc,Zip,SubCity,City,State,qty,revenue
ABCPoint,781122,Rampur,Kamrup,Assam,407,254500.0
ABCPoint,781123,Boko,Kamrup,Assam,119,77000.0
ABCPoint,781124,Chhaygaonpantan,Kamrup,Assam,76,59000.0
ABCPoint,781125,Palashbari Circle,Kamrup,Assam,299,203000.0
ABCPoint,781126,Balikuchi,Nalbari,Assam,88,58000.0
ABCPoint,781127,Chamaria Block,Kamrup,Assam,27,21000.0
ABCPoint,781128,Rani Block ( Palasbari Circle),Kamrup,Assam,111,83000.0
ABCPoint,781131,-,-,-,1,2000.0
ABCPoint,781132,Rampur,-,-,45,44000.0
ABCPoint,781134,Dakhin Sarubanswar (rampur),-,-,27,22000.0
ABCPoint,781135,Boko,Kamrup,Assam,78,60000.0
ABCPoint,781136,Chamaria,Kamrup,Assam,72,56000.0
ABCPoint,781137,P. Chamaria ( Goroimari Block),Kamrup,Assam,81,57000.0
ABCPoint,781150,Chandrapur Block,Kamrup,Assam,11,12000.0
ABCPoint,781171,Gmc,Kamrup,Assam,150,106500.0
ABCPoint,781301,Barpeta,Barpeta,Assam,90,62000.0
ABCPoint,781302,Baharihat,Barpeta,Assam,51,30000.0
ABCPoint,781303,Panigaon,Nalbari,Assam,1,1000.0
ABCPoint,781305,-,-,-,31,19000.0
ABCPoint,781306,Chamata,Nalbari,Assam,4,3500.0
ABCPoint,781307,Sarthebari,Barpeta,Assam,46,41000.0
ABCPoint,781308,Barpeta,Barpeta,Assam,71,50000.0
ABCPoint,781310,Jagra,Nalbari,-,1,1000.0
ABCPoint,781311,Nagaon,Barpeta,Assam,18,20000.0
ABCPoint,781312,Rampur,Nalbari,Assam,27,21000.0
ABCPoint,781313,Simlaguri,Barpeta,Assam,34,27000.0
ABCPoint,781314,Santinagar,Barpeta,Assam,248,162500.0
ABCPoint,781315,Barpetaroad,Barpeta,Assam,244,152000.0
ABCPoint,781316,Howly,Barpeta,Assam,109,75000.0
ABCPoint,781317,-,-,-,75,38000.0
ABCPoint,781318,Sarupeta,Barpeta,Assam,51,30000.0
ABCPoint,781319,-,-,-,117,68000.0
ABCPoint,781325,Bajali,Barpeta,Assam,55,37000.0
ABCPoint,781326,-,-,-,57,38000.0
ABCPoint,781328,-,-,-,1,2000.0
ABCPoint,781329,Barkhetri,Barpeta,Assam,224,139000.0
ABCPoint,781334,Chandkuchi,Nalbari,Assam,39,28500.0
ABCPoint,781335,Nalbari,Nalbari,Assam,99,86000.0
ABCPoint,781337,Sondha,-,-,51,30000.0
ABCPoint,781338,Barkhetri,Nalbari,Assam,10,8500.0
ABCPoint,781339,Arikuchi,Nalbari,Assam,11,10500.0
ABCPoint,781349,Nizdhamdhama,Nalbari,Assam,68,41000.0
ABCPoint,781352,Bhowanipur,Barpeta,Assam,28,20000.0
ABCPoint,781354,Rangia Block,Kamrup,Assam,208,120000.0
ABCPoint,781360,Kumarikata,-,-,50,37000.0
ABCPoint,781364,Goreswar Block,Kamrup,Assam,85,60500.0
ABCPoint,781365,Rangia Block,Kamrup,Assam,6,5000.0
ABCPoint,781366,Goreswar Block,Kamrup,Assam,62,56500.0
ABCPoint,781367,Bajali,Barpeta,Assam,67,38000.0
ABCPoint,781368,Nagrijuli,Nalbari,Assam,102,69500.0
ABCPoint,781369,Nankarbhaira,Nalbari,Assam,63,44500.0
ABCPoint,781371,Tihu,Nalbari,Assam,69,55000.0
ABCPoint,781372,Nikashi,Nalbari,Assam,30,20000.0
ABCPoint,781380,Kamalpur,Kamrup,Assam,104,75000.0
ABCPoint,781381,Bezera Block,Kamrup,Assam,120,68000.0
ABCPoint,781382,Kamalpur Block,-,-,27,22000.0
ABCPoint,781388,-,-,-,1,2000.0
ABCPoint,782001,Nagaon,Nagaon,Assam,66,62000.0
ABCPoint,782002,Nagaon,Nagaon,Assam,192,122500.0
ABCPoint,782003,Nagaon,Nagaon,Assam,102,70000.0
ABCPoint,782024,Guwahati,Kamrup,Assam,14,10000.0
ABCPoint,782102,-,-,-,1,2000.0
ABCPoint,782103,Morigaon,Marigaon,Assam,120,73000.0
ABCPoint,782104,-,-,-,140,76000.0
ABCPoint,782105,Morigaon,Marigaon,Assam,92,78000.0
ABCPoint,782106,Morigaon,Marigaon,Assam,23,20000.0
ABCPoint,782120,Ambagan,Nagaon,Assam,15,32000.0
ABCPoint,782121,Bhuragaon,Marigaon,Assam,125,85000.0
ABCPoint,782122,Nagaon,Nagaon,Assam,42,33500.0
ABCPoint,782123,Dhing,Nagaon,Assam,175,116000.0
ABCPoint,782124,Nagaon,Nagaon,Assam,27,25000.0
ABCPoint,782125,Nagaon,Nagaon,Assam,155,103000.0
ABCPoint,782126,Morigaon,Marigaon,Assam,120,80000.0
ABCPoint,782127,Morigaon,Marigaon,Assam,64,41000.0
ABCPoint,782128,-,-,-,51,30000.0
ABCPoint,782136,Nagaon,Nagaon,Assam,154,110000.0
ABCPoint,782139,Nagaon,-,-,25,22000.0
ABCPoint,782140,Nagaon,Nagaon,Assam,11,12500.0
ABCPoint,782142,Nagaon,Nagaon,Assam,119,68000.0
ABCPoint,782143,Nagaon,Nagaon,Assam,44,30000.0
ABCPoint,782402,Sonapur Block,Kamrup,Assam,266,156600.0
ABCPoint,782403,Sonapur Block,Kamrup,Assam,25,21000.0
ABCPoint,782404,-,-,-,26,20000.0
ABCPoint,782410,Jagiroad,Marigaon,Assam,122,84500.0
ABCPoint,782411,Morigaon,Marigaon,Assam,146,112000.0
ABCPoint,782413,-,-,-,1,2000.0
ABCPoint,782425,Nagaon,Nagaon,Assam,27,22500.0
ABCPoint,782426,Nagaon,Nagaon,Assam,125,85100.0
ABCPoint,782427,Kampur,Nagaon,Assam,16,10000.0
ABCPoint,782428,Nagaon,Nagaon,Assam,2,2000.0
ABCPoint,782429,Hojai,Nagaon,Assam,82,68000.0
ABCPoint,782430,-,-,-,44,33000.0
ABCPoint,782435,Hojai,Nagaon,Assam,458,294000.0
ABCPoint,782439,Hojai,Nagaon,Assam,78,62000.0
ABCPoint,782440,Doboka,Nagaon,Assam,50,38000.0
ABCPoint,782442,-,-,-,68,38000.0
ABCPoint,782445,Hojai,Nagaon,Assam,127,79000.0
ABCPoint,782446,Donka,Karbi Anglong,Assam,251,163000.0
ABCPoint,782447,Diphu,Karbi Anglong,Assam,91,72500.0
ABCPoint,782448,Hamren,Karbi Anglong,Assam,238,149000.0
ABCPoint,782450,Hamren,Karbi Anglong,Assam,75,52000.0
ABCPoint,782457,-,-,-,20,15000.0
ABCPoint,782460,Diphu,Karbi Anglong,Assam,150,103500.0
ABCPoint,782461,Diphu,Karbi Anglong,Assam,51,30000.0
ABCPoint,782464,-,-,-,17,10000.0
ABCPoint,782480,Bokajan,Karbi Anglong,Assam,97,66000.0
ABCPoint,782481,Hojai,Nagaon,Assam,149,98000.0
ABCPoint,782482,Diphu,Karbi Anglong,Assam,184,108000.0
ABCPoint,782485,Donka,Karbi Anglong,Assam,147,103000.0
ABCPoint,782486,Hamren,Karbi Anglong,Assam,51,30000.0
ABCPoint,782642,-,-,-,1,1000.0
ABCPoint,783003,-,-,-,9,10000.0
ABCPoint,783101,Goalpara,Goalpara,Assam,82,81000.0
ABCPoint,783121,Tinsukia,Tinsukia,Assam,57,30000.0
ABCPoint,783124,Dudnai,Goalpara,Assam,80,50000.0
ABCPoint,783126,Krishnai,Goalpara,Assam,27,20000.0
ABCPoint,783127,Kokrajhar,-,-,1,1000.0
ABCPoint,783129,Lakhipur,Goalpara,Assam,1,1000.0
ABCPoint,783130,-,-,-,112,68000.0
ABCPoint,783132,-,-,-,24,22000.0
ABCPoint,783135,Fekamari,Dhubri,Assam,20,13000.0
ABCPoint,783139,-,-,-,51,30000.0
ABCPoint,783301,Dhubri,Dhubri,Assam,170,119000.0
ABCPoint,783324,Dhubri,Dhubri,Assam,27,21000.0
ABCPoint,783330,Salmara South,Dhubri,Assam,75,38000.0
ABCPoint,783331,Rupsi,Dhubri,Assam,48,30000.0
ABCPoint,783334,Golakganj,Dhubri,Assam,137,91000.0
ABCPoint,783335,Agomoni,Dhubri,Assam,40,31000.0
ABCPoint,783336,Gossaigaon,Kokrajhar,Assam,8,8000.0
ABCPoint,783337,Bhowraguri,Kokrajhar,Assam,26,15000.0
ABCPoint,783339,Debitola,Dhubri,Assam,8,8000.0
ABCPoint,783346,Dotma,Kokrajhar,Assam,34,32500.0
ABCPoint,783348,Raniganj,Dhubri,Assam,21,19000.0
ABCPoint,783349,Bagribari,Dhubri,Assam,24,21000.0
ABCPoint,783360,Gossaigaon,Kokrajhar,Assam,77,45000.0
ABCPoint,783370,Kokrajhar,Kokrajhar,Assam,194,125000.0
ABCPoint,783371,Salkocha,Dhubri,Assam,69,38000.0
ABCPoint,783372,-,-,-,51,30000.0
ABCPoint,783376,-,-,-,66,38000.0
ABCPoint,783380,Bongaigaon,Bongaigaon,Assam,383,268000.0
ABCPoint,783381,Bijni,Bongaigaon,Assam,50,30000.0
ABCPoint,783384,B.s. Gram,Bongaigaon,Assam,112,93500.0
ABCPoint,783388,Dhubri,Dhubri,Assam,28,21000.0
ABCPoint,783390,Manikpur,Bongaigaon,Assam,79,61500.0
ABCPoint,783391,-,-,-,44,30000.0
ABCPoint,783392,-,-,-,26,22000.0
ABCPoint,783393,Borobazar,Bongaigaon,Assam,60,52500.0
ABCPoint,783610,-,-,-,9,10500.0
ABCPoint,784001,Tezpur,Sonitpur,Assam,104,86500.0
ABCPoint,784010,Tezpur,Sonitpur,Assam,10,10500.0
ABCPoint,784027,Kaliabhomora,Sonitpur,Assam,27,21000.0
ABCPoint,784028,-,-,-,75,38000.0
ABCPoint,784110,Dhekiajuli,Sonitpur,Assam,117,84000.0
ABCPoint,784112,Alisinga,Sonitpur,Assam,63,55000.0
ABCPoint,784114,Orang,Darrang,Assam,166,95000.0
ABCPoint,784115,Kharupetiaghat,Darrang,Assam,79,63000.0
ABCPoint,784116,Dalgaon,Darrang,Assam,118,78000.0
ABCPoint,784117,-,-,-,66,38000.0
ABCPoint,784125,-,-,-,1,2000.0
ABCPoint,784145,Sipajhar,Darrang,Assam,181,122500.0
ABCPoint,784145,Sipajhar,Sipajhar,Assam,19,18000.0
ABCPoint,784146,Dhula,Darrang,Assam,1,1000.0
ABCPoint,784148,-,-,-,30,22000.0
ABCPoint,784149,Thelamara,Sonitpur,Assam,109,81500.0
ABCPoint,784153,Bandarmari,Sonitpur,Assam,9,10000.0
ABCPoint,784166,Behali,Sonitpur,Assam,75,55000.0
ABCPoint,784167,Borgong,Sonitpur,Assam,52,40000.0
ABCPoint,784168,Gohpur,Sonitpur,Assam,26,20000.0
ABCPoint,784169,Howajan,Sonitpur,Assam,23,21000.0
ABCPoint,784171,Tetenbari,Sonitpur,Assam,11,10500.0
ABCPoint,784174,Pabhoi,Sonitpur,Assam,77,50000.0
ABCPoint,784175,Sootea,Sonitpur,Assam,167,110000.0
ABCPoint,784178,Kalabari,Sonitpur,Assam,57,30000.0
ABCPoint,784180,Jamugurihat,Sonitpur,Assam,1,1000.0
ABCPoint,784182,-,-,-,44,30000.0
ABCPoint,784190,Bhakatpara,Darrang,Assam,20,21000.0
ABCPoint,784441,-,-,-,27,21000.0
ABCPoint,784501,Dekargaon,Sonitpur,Assam,83,63000.0
ABCPoint,784504,Borjuli,Sonitpur,Assam,38,32500.0
ABCPoint,784505,-,-,-,26,15000.0
ABCPoint,784506,Missamari,Sonitpur,Assam,76,53000.0
ABCPoint,784507,Mazbat,Darrang,Assam,9,10500.0
ABCPoint,784509,Udalguri,Darrang,Assam,54,43500.0
ABCPoint,784510,-,-,-,57,38000.0
ABCPoint,784521,Tangla,Darrang,Assam,45,30000.0
ABCPoint,784522,Khoirabari,Darrang,Assam,11,10000.0
ABCPoint,784523,Panerihat,Darrang,Assam,94,60000.0
ABCPoint,784525,Kalaigaon,Darrang,Assam,2,2000.0
ABCPoint,784526,Dimakuchi,Darrang,Assam,41,30000.0
ABCPoint,784527,-,-,-,1,2000.0
ABCPoint,785001,Jorhat,Jorhat,Assam,140,99500.0
ABCPoint,785004,Jorhat,Jorhat,Assam,62,54000.0
ABCPoint,785006,Jorhat,Sibsagar,Assam,1,1000.0
ABCPoint,785008,Jorhat,Jorhat,Assam,27,19000.0
ABCPoint,785014,-,-,-,45,30000.0
ABCPoint,785104,Majuli,Jorhat,Assam,27,20000.0
ABCPoint,785504,-,-,-,14,10000.0
ABCPoint,785602,Glt,Nagaon,Assam,76,46500.0
ABCPoint,785611,-,-,-,51,30000.0
ABCPoint,785614,Glt,Sibsagar,Assam,75,52000.0
ABCPoint,785621,Golaghat,Golaghat,Assam,109,70500.0
ABCPoint,785630,Titabor,Jorhat,Assam,45,33000.0
ABCPoint,785634,Jorhat,Jorhat,Assam,5,5000.0
ABCPoint,785640,Sibsagar,-,-,23,20000.0
ABCPoint,785641,Guwahati,Kamrup,Assam,29,20000.0
ABCPoint,785642,-,-,-,51,30000.0
ABCPoint,785646,-,-,-,75,38000.0
ABCPoint,785671,Svs,Sibsagar,Assam,30,32000.0
ABCPoint,785676,Khowang Ghat,Dibrugarh,Assam,58,30000.0
ABCPoint,785684,Sibsagar,Sibsagar,Assam,45,30000.0
ABCPoint,785685,Svs,Sibsagar,Assam,40,34500.0
ABCPoint,785692,-,-,-,66,38000.0
ABCPoint,785693,Svs,Sibsagar,Assam,22,20000.0
ABCPoint,785702,Glt,Golaghat,Assam,40,26000.0
ABCPoint,786001,Dibrugarh,Dibrugarh,Assam,152,88000.0
ABCPoint,786002,Dibrugarh,-,-,66,38000.0
ABCPoint,786003,Dibrugarh,Dibrugarh,Assam,9,10500.0
ABCPoint,786005,-,-,-,111,68000.0
ABCPoint,786008,Dibrugarh,Dibrugarh,Assam,46,31000.0
ABCPoint,786012,Mohanbari,Dibrugarh,Assam,1,1000.0
ABCPoint,786101,Dikom,Dibrugarh,Assam,1,1000.0
ABCPoint,786125,Tinsukia,Tinsukia,Assam,168,98500.0
ABCPoint,786126,Tinsukia,-,-,51,30000.0
ABCPoint,786152,Doomdooma,Tinsukia,Assam,27,21000.0
ABCPoint,786158,-,-,-,24,22000.0
ABCPoint,786160,Doom Dooma,Tinsukia,Assam,9,10500.0
ABCPoint,786171,Margherita,-,-,1,2000.0
ABCPoint,786179,-,-,-,75,38000.0
ABCPoint,786181,Margherita,Tinsukia,Assam,22,21000.0
ABCPoint,786191,Naholia,Dibrugarh,Assam,159,86500.0
ABCPoint,786601,Tinsukia,Tinsukia,Assam,10,10500.0
ABCPoint,786602,Duliajan,Dibrugarh,Assam,213,135000.0
ABCPoint,786610,Naharkatia,Dibrugarh,Assam,111,72000.0
ABCPoint,786612,Tingkhong,Dibrugarh,Assam,27,20000.0
ABCPoint,787001,North Lakhimpur,Lakhimpur,Assam,48,41500.0
ABCPoint,787032,Lakhimpur,Lakhimpur,Assam,26,20000.0
ABCPoint,787052,Lakhimpur,Lakhimpur,Assam,9,10500.0
ABCPoint,787053,-,-,-,24,22000.0
ABCPoint,787054,Islamgaon,Lakhimpur,Assam,9,10000.0
ABCPoint,787055,Dhakuakhana,Lakhimpur,Assam,78,51000.0
ABCPoint,787057,Dhemaji,Dhemaji,Assam,45,34500.0
ABCPoint,787058,Machkhowa,Dhemaji,Assam,26,21000.0
ABCPoint,787059,Silapathar,Dhemaji,Assam,139,93000.0
ABCPoint,787060,Jonai,Dhemaji,Assam,30,20000.0
ABCPoint,788001,Cachar,Cachar,Assam,182,115000.0
ABCPoint,788002,Cachar,Cachar,Assam,94,61000.0
ABCPoint,788003,Silchar,Cachar,Assam,39,35500.0
ABCPoint,788004,Cachar,Cachar,Assam,27,20000.0
ABCPoint,788005,Silchar,Cachar,Assam,126,81000.0
ABCPoint,788006,Cachar,Cachar,Assam,77,48500.0
ABCPoint,788007,Cachar,Cachar,Assam,98,74000.0
ABCPoint,788025,Cachar,Cachar,Assam,65,48500.0
ABCPoint,788030,Silchar,Cachar,Assam,51,30000.0
ABCPoint,788031,Cachar,Cachar,Assam,27,21000.0
ABCPoint,788098,Cachar,Cachar,Assam,1,1000.0
ABCPoint,788101,Cachar,Cachar,Assam,77,50000.0
ABCPoint,788115,Cachar,Cachar,Assam,10,10000.0
ABCPoint,788116,-,-,-,75,38000.0
ABCPoint,788119,-,-,-,67,38000.0
ABCPoint,788121,Cachar,Cachar,Assam,1,1000.0
ABCPoint,788151,Hailakandi,Hailakandi,Assam,7,5000.0
ABCPoint,788152,Hailakandi,Hailakandi,Assam,27,21000.0
