City,total_orders,total_revenue,unique_pincodes
Shivamogga,362,682481.6,35
Lohardaga,362,732566.2,4
Davangere,361,658783.05,30
Moga,361,647672.35,21
Bhavnagar,360,725876.35,31
South Sikkim,360,641416.4,3
Jaintia Hills,359,631868.3,5
Karim Nagar,359,644971.73,51
Udhampur,359,610730.75,17
Changlang,347,600805.55,6
Nellore,344,648443.9,39
Rewari,338,633850.85,9
Hamirpur(HP),334,626584.84,42
Alipurduar,333,639374.2,21
Mokokchung,328,621865.7,6
Raigarh,323,660492.0,19
West Godavari,322,564307.43,70
South Andaman,320,598214.35,10
Vellore,320,631509.2,65
East Midnapore,318,609385.35,55
Angul,317,585865.35,28
Bikaner,317,637869.65,20
Rewa,314,637108.45,25
Junagadh,314,684991.3,31
Sagar,312,663904.15,22
Golaghat,311,533383.5,15
Satna,311,626067.25,20
Puri,309,596645.15,21
Cuddapah,308,554569.3,41
Alappuzha,305,510465.1,89
Vijayapura,300,588575.65,27
Tiruchirappalli,299,475764.3,43
Hassan,298,543697.1,27
Jharsuguda,297,604666.55,16
Rajnandgaon,295,649906.45,13
Madurai,293,492169.24,34
Raebareli,292,594935.7,36
Kheda,292,602442.2,35
Sirsa,290,537033.25,14
Fatehgarh Sahib,288,533493.3,12
Cooch Behar,286,570789.08,21
Azamgarh,286,609034.1,47
Panch Mahals,284,534421.25,24
Sikar,284,535151.3,37
Bhiwani,284,553056.05,26
Churachandpur,283,441778.15,4
Purnia,283,549912.0,19
Betul,281,576576.65,20
Kathua,279,477801.55,16
Nizamabad,279,583650.65,32
North Dinajpur,278,533772.79,17
Balangir,278,545158.25,28
Sindhudurg,278,556256.1,34
Mahabub Nagar,278,530596.4,33
Baramulla,277,450271.4,16
Pauri Garhwal,276,521643.1,16
Hathras,275,514149.74,9
Bulandshahr,275,543986.0,21
North Cachar Hills,275,449403.25,8
Faizabad,272,568089.6,29
Darbhanga,272,538986.8,33
Karimganj,271,537973.35,23
Krishnagiri,268,489943.05,25
Kozhikode,267,410276.69,72
Sabarkantha,267,540205.65,36
Puducherry,261,421233.4,24
Thoubal,260,471947.05,8
Rampur,259,494975.7,6
Shahjahanpur,259,507608.9,15
Latur,258,496249.75,17
Birbhum,255,507994.7,32
Dhubri,254,508999.45,17
Dhemaji,253,472546.8,7
Hazaribag,252,543293.95,15
Akola,251,522486.0,18
Chittorgarh,251,491719.8,33
Goalpara,250,408820.6,11
Kannur,249,377961.7,75
