pin_int,unique_clinic_patients,clinic_orders,clinic_revenue,clinics_visited
125025,1,16,10000.0,1
125033,2,67,41000.0,2
125036,1,8,5000.0,1
125047,1,23,18000.0,1
125049,1,4,0.0,1
125050,5,223,148629.0,3
125051,2,84,48000.0,1
125052,2,53,31000.0,1
125055,5,267,166630.0,5
125104,3,159,103600.0,2
125110,1,7,7500.0,1
125120,1,1,1000.0,1
125133,1,61,33000.0,1
125201,1,68,38000.0,1
126101,1,30,22300.0,1
126102,2,98,61500.0,2
126112,1,50,21466.0,1
126114,1,6,4000.0,1
126115,1,18,14200.0,1
126116,2,75,54000.0,2
127021,4,82,50660.0,3
127026,1,30,15000.0,1
127201,1,38,21000.0,1
127308,1,24,18000.0,1
130001,2,19,10000.0,2
130114,1,49,19000.0,1
130212,1,46,19000.0,1
131001,23,778,527500.0,4
131028,6,178,117710.0,2
131029,2,48,39400.0,1
131101,2,82,42000.0,2
131102,1,24,19100.0,1
131301,1,39,21000.0,1
132001,14,297,206660.0,7
132101,2,17,20500.0,1
132103,28,865,611829.0,6
132104,1,10,8500.0,1
132114,2,60,48300.0,2
132116,1,36,15000.0,1
132117,1,61,33000.0,1
132122,1,1,1000.0,1
132140,3,46,41400.0,3
133001,28,802,524200.0,2
133004,2,89,50000.0,1
133103,1,31,28900.0,1
133104,1,30,20000.0,1
133203,1,16,13200.0,1
133301,1,2,0.0,1
133302,8,268,159000.0,1
134003,16,367,270900.0,2
134017,1,13,9400.0,1
134101,4,77,50700.0,1
134102,12,304,206000.0,1
134103,1,23,21000.0,1
134104,1,50,28300.0,1
134107,16,401,258900.0,1
134109,15,364,249600.0,1
134112,5,92,64600.0,1
134113,3,56,34000.0,2
134114,5,209,120100.0,2
134116,2,2,1000.0,1
134117,2,68,40500.0,1
134118,2,85,43900.0,2
134202,2,25,10000.0,1
134203,4,149,96000.0,2
135001,17,467,325300.0,5
135002,1,42,33000.0,1
135003,4,66,49700.0,1
135102,2,19,11000.0,2
136012,1,7,4000.0,1
136026,1,7,6500.0,1
136027,9,392,257000.0,4
136033,1,65,30000.0,1
136034,2,31,14900.0,2
136038,1,46,30000.0,1
136118,9,288,189144.0,3
136119,1,53,30000.0,1
136128,2,81,43500.0,1
136131,1,37,21000.0,1
136135,1,34,15000.0,1
140001,18,639,367000.0,3
140010,1,1,1000.0,1
140021,1,52,30000.0,1
140022,1,61,38000.0,1
140044,1,54,30000.0,1
140055,42,1143,683000.0,1
140101,3,9,6700.0,1
140103,8,160,107900.0,3
140107,42,1150,711999.0,1
140108,1,23,21000.0,1
140110,2,18,10500.0,1
140112,2,171,114200.0,2
140113,1,1,1000.0,1
140118,3,152,101000.0,1
140119,3,137,89700.0,2
140124,1,29,18000.0,1
140126,3,128,82200.0,1
140201,6,156,77000.0,1
140301,93,2864,1811198.0,2
140306,4,71,56500.0,2
140307,19,527,356600.0,3
140308,7,205,136000.0,3
140401,14,509,294200.0,3
140402,1,54,34500.0,1
140406,4,98,65000.0,3
140407,7,282,177100.0,2
140408,1,68,33000.0,1
140412,2,34,22100.0,1
140417,1,26,21000.0,1
140501,2,94,59400.0,1
140506,2,119,66002.0,2
140507,21,604,389500.0,2
140601,7,156,119000.0,1
140603,45,1474,936000.0,4
140604,4,136,83000.0,1
140701,1,63,33000.0,1
140801,1,30,24500.0,1
140901,11,389,241800.0,2
141001,248,6519,3866601.02,9
141002,30,601,347600.0,2
141003,169,5235,2977499.0,4
141004,1,1,1000.0,1
141005,6,147,78000.0,1
141006,14,637,403000.0,1
141007,39,1339,717700.0,3
141008,101,2824,1610400.0,2
141009,1,2,0.0,1
141010,38,964,610600.0,3
141011,3,112,54000.02,2
141012,12,438,251300.0,1
141013,18,547,331500.0,3
141014,15,537,331900.0,1
141015,12,300,180500.0,2
141016,8,177,118200.0,1
141017,1,55,41300.0,1
141020,1,1,1000.0,1
141022,1,78,25000.0,1
141027,1,9,8500.0,1
141101,1,6,0.0,1
141103,2,57,36000.0,1
141104,2,126,63000.0,1
141105,1,4,0.0,1
141106,2,12,1000.0,2
141107,1,53,33000.0,1
141108,4,166,91500.0,1
141109,8,94,46000.0,2
141110,2,74,41500.0,1
141112,4,31,25500.0,1
141113,3,38,26000.0,1
141114,6,269,144500.0,2
141115,11,334,210500.0,2
141116,4,135,95700.0,2
141117,1,63,34000.0,1
141118,1,1,1000.0,1
141120,13,622,383200.0,1
141122,2,17,12300.0,1
141123,2,10,7500.0,1
141125,1,10,8500.0,1
141202,2,81,55869.0,2
141206,3,64,38500.0,1
141401,16,460,284200.0,1
141411,5,72,33500.0,1
141418,1,2,0.0,1
141419,1,53,33900.0,1
141421,11,460,256000.0,1
142001,30,934,553800.0,3
142004,1,1,1000.0,1
142021,7,324,170050.0,1
142022,4,42,32700.0,2
142026,18,581,341500.0,1
142027,3,26,20700.0,2
142029,2,14,11000.0,1
142031,1,6,5000.0,1
142033,1,1,1000.0,1
142035,1,49,30000.0,1
142038,2,109,63000.0,1
142043,1,61,30469.0,1
142044,2,47,28700.0,1
142047,7,234,145700.0,2
142048,1,22,18000.0,1
142050,1,15,11500.0,1
142053,1,62,30000.0,1
142054,1,39,30000.0,1
142056,1,57,30000.0,1
143001,402,11490,7089294.5,13
143002,1,3,0.0,1
143003,1,67,44000.0,1
143004,1,8,0.0,1
143005,5,22,15200.0,3
143006,13,230,140000.0,1
143008,1,54,33000.0,1
143009,2,18,11000.0,1
143022,5,80,52200.0,1
143026,1,36,30000.0,1
143101,4,68,53700.0,3
143102,13,433,274200.0,1
143103,2,11,8500.0,1
143105,21,720,416699.0,1
143106,1,12,0.0,1
143107,4,139,102100.0,1
143108,7,162,107500.0,1
143109,4,30,22000.0,1
143110,4,122,82900.0,1
143111,6,226,132000.0,1
143112,12,356,203500.0,1
143113,2,46,19000.0,1
143114,8,121,75199.0,1
143115,7,147,100100.0,1
143116,6,175,118000.0,1
143117,2,95,59000.0,1
143119,2,35,21000.0,1
143149,2,2,2000.0,1
143195,1,7,5000.0,1
143201,2,7,7100.0,1
143202,1,29,15000.0,1
143203,2,40,20000.0,1
143204,3,91,63000.0,2
143205,2,33,20000.0,1
143301,5,182,106000.0,2
143302,5,95,65000.0,1
143303,7,184,116200.0,1
143304,3,124,81000.0,1
143305,1,6,5000.0,1
143401,28,764,452700.0,6
143403,2,41,30700.0,1
143406,1,1,1000.0,1
143407,2,71,38000.0,1
143409,1,28,20000.0,1
143411,1,47,20000.0,1
143412,3,81,55000.0,1
143413,3,36,21000.0,1
143414,2,22,8500.0,1
143416,12,375,218998.0,2
143419,5,153,65299.0,1
143422,5,131,76000.0,1
143501,13,349,218800.0,1
143502,1,1,1000.0,1
143504,1,1,1000.0,1
143505,34,1053,663255.0,5
143507,1,23,15800.0,1
143511,1,1,1000.0,1
143512,2,95,68000.0,1
143513,2,20,19900.0,1
143514,4,64,53500.0,1
143515,1,39,19000.0,1
143516,6,139,89000.0,1
143518,3,142,79400.0,1
143519,7,192,115700.0,1
143520,4,76,33500.0,1
143521,32,1122,647400.0,9
143525,1,21,10000.0,1
143526,1,1,1000.0,1
143527,2,51,31000.0,1
143530,2,81,45000.0,1
143531,8,325,177000.0,1
143601,7,337,197500.0,1
143602,6,108,63900.0,1
143603,1,7,5000.0,1
