pin_int,unique_clinic_patients,clinic_orders,clinic_revenue,clinics_visited
209881,1,1,1000.0,1
210001,4,48,24600.0,1
210010,1,55,33000.0,1
210107,2,67,30000.0,1
210110,1,81,50100.0,1
210120,1,53,33000.0,1
210121,2,46,42600.0,2
210126,1,8,8500.0,1
210129,1,41,31400.0,1
210201,1,75,38000.0,1
210202,1,24,20000.0,1
210204,1,5,4000.0,1
210205,4,104,81000.0,2
210208,1,50,30000.0,1
210301,13,277,179600.0,4
210308,1,23,15300.0,1
210421,1,43,37700.0,1
210427,3,105,68500.0,2
210431,1,17,10000.0,1
210501,1,43,33000.0,1
210502,1,31,15000.0,1
210506,1,17,17700.0,1
210507,1,28,20400.0,1
211001,115,2624,1872700.0,7
211002,14,435,284300.0,6
211003,28,844,515900.0,6
211004,11,329,187469.0,2
211005,8,214,165000.0,3
211006,28,875,564200.0,6
211007,5,120,73500.0,3
211008,19,558,330500.0,3
211009,1,1,1000.0,1
211010,2,70,42000.0,2
211011,24,532,372300.0,4
211012,11,261,172200.0,5
211013,3,100,76000.0,3
211015,1,4,0.0,1
211016,14,352,232300.0,3
211017,1,36,33000.0,1
211018,1,27,21000.0,1
211019,13,387,273700.0,5
212010,2,94,66000.0,2
212011,1,1,0.0,1
212105,1,27,30000.0,1
212106,5,170,105400.0,3
212107,2,84,60000.0,1
212108,2,69,39000.0,1
212111,1,52,30000.0,1
212202,2,54,27500.0,2
212204,2,81,54000.0,2
212205,1,25,24000.0,1
212206,1,1,1000.0,1
212207,2,112,68000.0,1
212213,1,16,10500.0,1
212217,4,142,99500.0,3
212301,7,174,123600.0,3
212302,1,53,30000.0,1
212303,1,24,22000.0,1
212306,2,94,58000.0,1
212307,1,7,10500.0,1
212401,1,74,30000.0,1
212405,1,23,20000.0,1
212502,2,46,35000.0,1
212503,1,52,43500.0,1
212507,6,151,92100.0,3
212601,22,532,332800.0,3
212635,1,29,20000.0,1
212641,1,21,22000.0,1
212653,1,36,30000.0,1
212655,1,88,54700.0,1
212659,2,92,52400.0,1
212665,1,16,16700.0,1
220001,2,63,40000.0,2
220012,2,42,31200.0,1
220101,1,1,1000.0,1
220112,1,1,2500.0,1
220441,1,7,0.0,1
220820,1,20,0.0,1
221001,64,1422,1008869.0,5
221002,54,1547,1008400.0,4
221003,47,1137,833863.0,1
221004,10,263,160400.0,2
221005,40,789,530700.0,6
221006,17,324,242400.0,2
221007,51,1179,727500.0,6
221008,28,628,436550.0,4
221009,13,382,227000.0,1
221010,251,5773,3580930.0,4
221011,6,165,92500.0,1
221012,1,12,15000.0,1
221101,7,230,134000.0,1
221102,1,19,11200.0,1
221103,3,36,22000.0,2
221104,7,92,45700.0,1
221105,2,96,54000.0,2
221106,6,103,104500.0,1
221107,3,38,32500.0,1
221109,2,66,38000.0,1
221111,2,16,16700.0,1
221112,3,68,46800.0,2
221115,1,16,10000.0,1
221202,2,2,2000.0,1
221204,4,127,86500.0,2
221206,1,75,33000.0,1
221207,2,115,64000.0,1
221208,2,30,21000.0,1
221301,4,120,76000.0,1
221302,55,762,436100.0,1
221303,4,72,35450.0,3
221304,5,119,73000.0,1
221305,2,78,48000.0,2
221307,6,110,64000.0,3
221309,1,51,30000.0,1
221310,3,88,57700.0,2
221311,3,104,78000.0,1
221312,1,28,33000.0,1
221313,2,54,48000.0,1
221314,1,2,0.0,1
221401,20,424,318800.0,3
221402,2,61,34400.0,2
221403,1,34,18700.0,1
221404,8,221,140500.0,5
221502,3,139,101000.0,2
221503,4,99,73900.0,3
221505,19,308,167400.0,6
221507,5,197,112000.0,1
221508,2,42,31000.0,1
221701,2,67,46000.0,1
221705,10,211,105000.0,1
221711,1,26,19000.0,1
221712,1,15,10000.0,1
221713,1,10,11500.0,1
221715,1,1,1000.0,1
221716,1,45,15000.0,1
221717,1,63,44000.0,1
221718,1,54,30000.0,1
222001,41,1032,618910.0,5
222002,5,179,123200.0,3
222003,1,54,34500.0,1
222109,2,92,68600.0,1
222125,4,183,104000.0,3
222131,1,25,22500.0,1
222136,2,103,63000.0,1
222138,1,46,21000.0,1
222139,1,17,13700.0,1
222143,6,109,63000.0,2
222145,1,17,0.0,1
222149,1,41,30000.0,1
222161,1,24,22000.0,1
222162,2,68,52500.0,2
222170,2,17,7500.0,2
222180,10,192,157600.0,2
222202,2,41,58000.0,1
222203,1,33,14500.0,1
222301,1,30,18000.0,1
222302,4,43,51475.0,3
222802,2,58,43000.0,2
223101,3,70,40000.0,3
223104,1,12,10500.0,1
223205,1,1,1000.0,1
223221,2,41,49000.0,2
223225,5,179,116500.0,1
223226,1,61,33000.0,1
224001,118,1943,1199333.0,4
224120,1,53,55000.0,1
224121,1,52,41000.0,1
224122,12,281,163000.0,6
224123,15,457,301094.0,3
224125,1,27,30000.0,1
224127,1,14,11000.0,1
224133,1,60,33000.0,1
224135,2,19,19000.0,1
224139,1,34,20000.0,1
224141,2,81,50000.0,1
224149,2,104,64400.0,2
224151,1,6,0.0,1
224152,1,18,10500.0,1
224155,3,69,31800.0,1
224162,1,23,20000.0,1
224176,1,25,38000.0,1
224189,2,62,47400.0,1
224190,6,114,58000.0,3
224201,1,10,8500.0,1
224202,1,1,1000.0,1
224207,3,73,64500.0,2
224208,2,9,6800.0,2
224210,1,51,31000.0,1
224229,2,70,48999.0,2
224231,1,1,1000.0,1
224233,1,15,10400.0,1
224234,1,54,38000.0,1
224284,1,24,22000.0,1
225001,29,842,570200.0,1
225003,3,74,53000.0,2
225008,1,1,1000.0,1
225021,1,18,0.0,1
225119,1,18,9000.0,1
225121,1,43,30000.0,1
225123,1,1,1000.0,1
225124,2,14,15300.0,1
225126,1,39,30000.0,1
225201,1,39,28500.0,1
225206,1,69,33000.0,1
225301,3,130,92500.0,1
225302,2,36,28000.0,1
225305,2,60,37000.0,1
225306,1,22,12200.0,1
225403,1,17,10000.0,1
225408,1,14,15000.0,1
225409,1,23,30000.0,1
225412,2,37,27400.0,1
225415,1,60,33000.0,1
226001,62,1614,994748.03,11
226002,54,1561,1034843.0,7
226003,56,1598,932100.0,4
226004,21,386,272100.0,4
226005,28,795,527200.0,3
226006,120,1466,1155098.0,2
226007,7,175,91000.0,2
226008,17,620,382000.0,3
226009,3,116,60300.0,2
226010,616,14017,9440483.0,11
226011,19,564,393300.0,2
226012,43,1041,726300.0,9
226013,11,331,211000.0,1
226014,11,295,171000.0,3
226015,5,92,86500.0,1
226016,70,1652,1100700.0,8
226017,47,1208,848500.0,2
226018,30,896,531200.0,1
226019,5,77,50000.0,3
226020,43,1130,789900.0,4
226021,48,1275,834800.0,3
226022,47,1137,772200.0,5
226023,11,278,159500.0,2
226024,19,417,266000.0,3
226025,9,169,113100.0,3
226026,9,284,166500.0,5
226027,1,48,33000.0,1
226028,63,1607,951600.0,4
226029,17,483,350900.0,1
226030,9,357,232000.0,1
226031,4,125,73500.0,1
226100,2,47,30000.0,1
226101,3,118,69000.0,1
226104,2,73,51000.0,1
226110,1,1,1000.0,1
226181,1,45,30000.0,1
226201,6,200,93600.0,2
226202,1,37,38000.0,1
226203,3,69,37400.0,1
226301,4,51,41300.0,3
226302,1,47,33000.0,1
226309,1,28,20000.0,1
226401,2,107,64000.0,1
226501,6,139,97700.0,2
226600,1,35,29200.0,1
227001,1,55,30000.0,1
227105,7,329,204300.0,2
227107,1,9,8500.0,1
227202,1,30,15000.0,1
227301,1,3,0.0,1
227305,1,14,10500.0,1
227309,1,24,20000.0,1
227405,6,158,102700.0,2
227407,2,79,40531.0,2
227408,1,49,33000.0,1
227409,1,52,30000.0,1
227806,1,62,30000.0,1
227807,1,4,0.0,1
227809,2,73,48400.0,1
227811,1,45,30000.0,1
227812,1,56,33000.0,1
227813,3,66,48100.0,2
227816,2,74,36700.0,1
227817,1,1,1000.0,1
228001,19,571,367100.0,6
228006,1,6,4000.0,1
228118,1,19,13500.0,1
228132,1,21,11500.0,1
228145,5,128,72500.0,2
228171,1,50,30000.0,1
229001,26,751,491900.0,4
229010,5,70,39500.0,3
229120,1,36,0.0,1
229121,2,16,11000.0,1
229122,1,59,33000.0,1
229123,1,26,30000.0,1
229129,1,51,30000.0,1
229202,2,72,42000.0,2
229203,1,16,0.0,1
229301,2,41,34000.0,1
229303,1,24,38000.0,1
229305,5,192,114800.0,2
229311,1,24,22000.0,1
229316,1,8,5000.0,1
229405,1,30,21000.0,1
229406,2,50,31000.0,2
229411,1,7,5000.0,1
229412,2,22,6000.0,1
230001,16,372,256370.0,4
230002,2,5,0.0,2
230124,1,8,5000.0,1
230131,1,37,15000.0,1
230132,1,67,38000.0,1
230135,3,79,58000.0,2
230136,3,57,43000.0,2
230138,2,68,41100.0,2
230142,1,9,8500.0,1
230204,5,144,92200.0,2
230233,1,83,38000.0,1
230301,1,64,34800.0,1
230302,1,16,10000.0,1
230304,2,55,24000.0,1
230401,1,38,31000.0,1
230402,1,21,21700.0,1
230403,1,49,21000.0,1
230404,1,1,0.0,1
230501,2,50,31000.0,2
231001,42,1219,750500.0,8
231003,1,56,33000.0,1
231101,1,26,20000.0,1
231205,6,121,84900.0,2
231206,3,36,28200.0,1
231210,1,22,18000.0,1
231211,1,44,33000.0,1
231216,24,406,294299.0,2
231217,4,27,17000.0,1
231219,5,101,103500.0,1
231220,1,1,1000.0,1
231222,2,55,59000.0,1
231223,2,38,20000.0,1
231224,3,51,30000.0,1
231225,1,38,25100.0,1
231301,4,114,78000.0,3
231302,2,50,35500.0,2
231303,1,69,38000.0,1
231304,11,237,161500.0,1
231305,8,199,119500.0,2
231307,10,203,136700.0,1
231309,1,13,10500.0,1
231313,2,95,50500.0,2
231314,1,78,38500.0,1
231501,1,1,1000.0,1
232101,25,712,446100.0,4
232103,2,69,33000.0,1
232104,10,117,91700.0,1
232105,3,142,94900.0,1
232106,1,27,20000.0,1
232108,1,2,0.0,1
232109,1,9,7500.0,1
232111,1,27,26500.0,1
232120,3,91,49200.0,2
232326,2,73,40000.0,2
232328,2,91,59500.0,1
232329,1,8,11400.0,1
232333,2,30,20500.0,1
232339,1,3,1400.0,1
233001,33,845,570200.0,3
233002,3,88,92000.0,1
233227,3,175,73000.0,1
233228,1,54,38000.0,1
233230,8,278,142600.0,2
233233,1,3,0.0,1
233301,2,51,40000.0,1
233303,1,33,18000.0,1
233304,1,1,2000.0,1
233307,2,75,50000.0,2
233310,1,16,19000.0,1
233311,1,20,10000.0,1
234001,7,283,164100.0,6
240001,3,35,21000.0,2
240091,1,33,20000.0,1
241001,22,690,460450.0,2
241122,1,18,11000.0,1
241124,2,70,47200.0,1
241201,2,44,30000.0,1
241203,2,27,10000.0,2
241204,1,1,1000.0,1
241301,1,54,33000.0,1
241302,1,39,26300.0,1
241303,2,114,66000.0,2
241304,1,53,35000.0,1
241305,1,46,30000.0,1
241404,1,1,1000.0,1
241406,1,46,30000.0,1
242001,26,682,484975.0,5
242221,2,22,17050.0,2
242226,3,111,55000.0,1
242407,1,42,30999.0,1
243001,25,662,401800.0,9
243002,4,195,131900.0,2
243003,4,152,98700.0,2
243004,1,17,10000.0,1
243005,4,132,67500.0,3
243006,4,75,33000.0,2
243122,7,230,131000.0,3
243123,1,33,27200.0,1
243201,4,158,110000.0,3
243301,1,37,21000.0,1
243501,1,74,33000.0,1
243503,2,55,31000.0,2
243505,2,141,93700.0,1
243601,9,493,263770.0,4
243633,1,23,20000.0,1
243634,1,37,21000.0,1
243639,2,26,21600.0,2
243723,1,1,1000.0,1
244001,55,2053,1326062.0,8
244103,1,69,33000.0,1
244221,10,324,203200.0,4
244222,1,15,10000.0,1
244235,4,97,80160.0,4
244236,2,70,34500.0,2
244255,2,60,40000.0,2
244301,1,33,18000.0,1
244302,9,205,132370.0,3
244401,1,63,30001.0,1
244402,1,45,44900.0,1
244412,6,150,128498.0,4
244413,1,15,10000.0,1
244712,2,64,50610.0,1
244713,8,106,85900.0,6
244714,1,26,15000.0,1
244715,1,3,0.0,1
244901,14,515,330950.0,5
244922,1,54,48200.0,1
245101,19,593,354300.0,6
245201,2,81,60500.0,2
245205,2,46,30700.0,2
245303,1,46,15000.0,1
245304,10,244,185900.0,4
245456,1,75,38000.0,1
246001,2,51,33000.0,2
246141,2,60,33000.0,2
246149,4,128,82400.0,2
246155,1,23,19000.0,1
246171,1,53,30000.0,1
246194,3,68,55500.0,3
246425,1,47,19000.0,1
246443,3,117,74100.0,3
246482,1,53,50600.0,1
246701,30,1046,604300.0,8
246721,1,58,30000.0,1
246725,2,20,14799.0,2
246726,1,21,16400.0,1
246733,1,25,20500.0,1
246745,1,19,11000.0,1
246746,1,9,9900.0,1
246747,2,37,33000.0,2
246762,1,1,1000.0,1
246763,2,94,45000.0,2
247001,48,1410,829600.0,9
247002,3,51,17600.0,3
247008,1,18,13800.0,1
247121,2,124,67300.0,2
247122,1,58,30000.0,1
247232,3,93,66100.0,2
247340,5,235,115000.0,2
247341,1,1,1000.0,1
247451,1,62,30000.0,1
247453,1,20,13600.0,1
247551,1,36,20000.0,1
247554,1,19,16300.0,1
247600,1,1,2000.0,1
247651,1,1,1000.0,1
247656,2,75,21500.0,2
247661,3,97,51000.0,1
247662,2,52,37600.0,2
247663,1,67,30000.0,1
247664,4,118,60000.0,2
247665,1,34,20000.0,1
247667,8,163,99800.0,3
247669,1,5,4400.0,1
247774,1,2,0.0,1
247776,16,599,326300.0,4
247777,2,72,36400.0,1
248001,289,9176,5116565.0,10
248002,3,103,50000.0,1
248003,5,149,61000.0,1
248005,3,153,93000.0,2
248006,1,17,10000.0,1
248007,12,400,223700.0,5
248008,5,212,110070.0,4
248009,3,63,32000.0,1
248125,2,115,60000.0,1
248140,2,69,40000.0,1
248141,1,34,21000.0,1
248143,2,43,35000.0,2
248145,1,24,20000.0,1
248146,1,38,15000.0,1
248171,1,26,18000.0,1
248179,9,251,183000.0,2
248196,1,9,0.0,1
248197,3,112,70000.0,2
248198,2,126,49000.0,1
249001,1,24,18000.0,1
249128,1,29,20000.0,1
249132,1,49,19000.0,1
249137,2,51,50700.0,1
249151,1,42,30000.0,1
249165,1,17,13880.0,1
249193,2,65,33000.0,2
249196,1,59,30000.0,1
249201,5,204,123740.0,2
249204,2,2,2000.0,1
249401,15,538,350000.0,5
249402,1,36,20000.0,1
249403,7,106,71550.0,5
249404,1,70,30000.0,1
249407,8,201,109100.0,3
249408,3,92,44900.0,3
250001,183,5990,3465727.0,8
250002,23,446,258932.0,5
250004,9,332,273695.0,5
250005,1,7,5700.0,1
250081,1,26,20000.0,1
250101,1,6,5000.0,1
250103,2,73,56160.0,2
250110,6,147,97000.0,5
250205,1,19,16500.0,1
250221,2,56,30000.0,1
250342,1,21,10000.0,1
250345,1,40,21000.0,1
250401,4,145,85000.0,3
250406,3,140,60000.0,1
250501,1,1,1000.0,1
250600,1,50,21000.0,1
250601,1,4,0.0,1
250609,16,468,283300.0,4
250611,4,54,47575.0,4
250623,1,8,10000.0,1
251001,21,459,331000.0,5
251201,6,247,159450.0,4
251306,1,58,25000.0,1
251309,2,28,21900.0,2
251318,1,64,30000.0,1
251320,1,1,0.0,1
252701,1,31,15000.0,1
258546,1,27,18000.0,1
260004,1,1,1000.0,1
261001,35,1188,778359.0,6
261121,1,1,2000.0,1
261125,2,45,11300.0,1
261131,1,19,10000.0,1
261133,1,6,4700.0,1
261135,2,108,67000.0,1
261141,2,28,22900.0,1
261201,2,106,65600.0,1
261203,1,11,8500.0,1
261302,1,52,30000.0,1
261303,4,111,63500.0,1
261401,3,66,21500.0,2
261501,2,64,34000.0,2
261505,1,19,10000.0,1
261705,1,17,10000.0,1
262001,8,237,174850.0,6
262201,1,18,13500.0,1
262202,1,14,0.0,1
262308,1,84,50000.0,1
262309,1,20,13500.0,1
262310,1,29,23570.0,1
262405,1,53,33000.0,1
262501,3,62,55870.0,3
262523,1,57,30000.0,1
262530,2,32,28600.0,2
262701,17,480,287599.0,3
262702,2,58,40000.0,1
262708,2,15,0.0,1
262722,1,51,33000.0,1
262723,2,50,28500.0,2
262802,4,82,49000.0,2
262804,4,125,87400.0,1
262901,1,40,29700.0,1
262902,1,25,15000.0,1
263002,1,20,14500.0,1
263139,11,283,219070.0,7
263145,1,1,0.0,1
263146,1,50,41000.0,1
263148,1,60,38000.0,1
263151,1,40,38800.0,1
263153,6,114,84400.0,2
263159,1,39,21000.0,1
263601,2,56,38600.0,2
263631,1,35,21000.0,1
263635,1,41,30000.0,1
265206,1,3,700.0,1
267406,1,1,1000.0,1
270643,1,24,21000.0,1
271001,18,354,229300.0,1
271002,1,12,22000.0,1
271003,1,9,8500.0,1
271122,2,81,33000.0,1
271123,1,49,30000.0,1
271126,1,15,11000.0,1
271201,17,482,347800.0,6
271206,3,75,49700.0,1
271208,1,46,30000.0,1
271215,2,3,4000.0,1
271218,1,14,11000.0,1
271301,1,50,30000.0,1
271302,3,113,75700.0,1
271303,1,10,0.0,1
271306,1,99,33000.0,1
271312,1,67,30000.0,1
271313,3,86,65900.0,2
271502,2,54,40000.0,2
271504,1,35,33000.0,1
271601,1,55,30000.0,1
271603,1,2,0.0,1
271604,3,128,88100.0,1
271801,19,593,458150.0,3
271802,1,24,10000.0,1
271805,2,30,18140.0,2
271808,1,26,17500.0,1
271810,2,11,0.0,1
271821,3,123,106500.0,2
271824,1,72,43000.0,1
271825,1,1,1000.0,1
271830,1,10,10500.0,1
271831,2,29,21000.0,1
271841,1,22,10500.0,1
271845,1,26,22000.0,1
271855,2,29,27000.0,1
271865,3,151,93000.0,1
271870,1,6,5000.0,1
271875,1,6,7200.0,1
271882,1,43,33100.0,1
271902,2,90,62000.0,1
271903,1,67,37400.0,1
272001,19,516,325400.0,3
272002,4,139,109100.0,2
272026,1,29,24200.0,1
272122,1,1,1000.0,1
272125,2,30,16000.0,1
272127,3,64,42000.0,1
272131,1,32,30000.0,1
272152,1,25,20000.0,1
272153,2,53,43000.0,2
272162,1,18,13500.0,1
272163,2,62,41000.0,1
272172,1,28,20000.0,1
272173,1,4,6840.0,1
272175,7,144,105700.0,1
272176,1,13,9700.0,1
272182,1,55,30000.0,1
272189,1,31,10000.0,1
272190,1,4,0.0,1
272192,1,28,20000.0,1
272193,2,60,35000.0,2
272194,1,23,8500.0,1
272195,1,74,38000.0,1
272199,3,108,76500.0,1
272201,1,1,2000.0,1
272205,2,101,66000.0,1
272206,1,18,11000.0,1
272207,5,121,88800.0,3
272231,1,1,1000.0,1
272271,1,46,33000.0,1
272301,1,17,10000.0,1
272310,1,42,33000.0,1
273001,44,1108,671200.0,9
273002,3,160,73900.0,1
273003,2,71,47700.0,1
273005,6,191,132700.0,3
273006,1,21,19000.0,1
273007,2,68,49700.0,1
273008,7,145,112500.0,3
273009,3,70,54700.0,2
273012,3,127,64000.0,3
273013,1,29,15000.0,1
273014,7,191,145000.0,6
273015,3,65,46719.0,2
273016,11,231,156500.0,7
273017,4,100,72810.0,3
273152,1,17,11000.0,1
273155,1,24,20000.0,1
273157,1,35,15000.0,1
273161,1,18,11000.0,1
273162,1,18,10000.0,1
273163,2,102,68000.0,1
273164,1,8,7500.0,1
273201,1,68,48000.0,1
273207,1,25,22000.0,1
273302,1,67,43600.0,1
273303,5,181,106400.0,2
273305,2,99,63000.0,1
273402,1,7,5000.0,1
273403,1,1,1000.0,1
273408,1,42,30000.0,1
273409,1,26,18000.0,1
273411,1,1,1000.0,1
273413,1,51,33000.0,1
274001,24,749,502000.0,7
274149,1,10,8500.0,1
274203,2,47,31100.0,2
274204,2,27,19500.0,1
274301,3,90,56000.0,2
274304,3,85,56500.0,1
274305,1,83,33000.0,1
274403,5,135,115000.0,2
274405,1,30,28900.0,1
274409,2,80,52700.0,1
274502,2,51,33000.0,1
274509,2,7,0.0,2
274703,2,76,41000.0,1
274705,1,23,21000.0,1
275101,14,346,225000.0,4
275201,1,1,2000.0,1
275204,1,6,7400.0,1
275302,1,18,20700.0,1
275303,1,51,30000.0,1
275304,4,33,12100.0,2
275305,2,3,3400.0,2
276001,37,923,597100.0,6
276125,3,53,53500.0,1
276127,1,36,28100.0,1
276135,1,1,1000.0,1
276142,1,73,30500.0,1
276201,1,39,21000.0,1
276202,2,31,23800.0,2
276203,1,27,22300.0,1
276206,11,278,178500.0,2
276207,1,16,30000.0,1
276288,2,103,63000.0,2
276301,1,1,2000.0,1
276304,1,42,29500.0,1
276305,1,18,15900.0,1
276402,1,61,38700.0,1
276403,2,107,60000.0,1
276405,2,72,51000.0,1
276406,10,179,123100.0,2
276601,1,46,30000.0,1
277001,22,537,306669.0,3
277110,1,31,33000.0,1
277201,2,56,33000.0,2
277207,1,67,30000.0,1
277211,2,71,43000.0,2
277301,1,49,15000.0,1
277303,1,1,700.0,1
277502,1,7,0.0,1
277506,2,62,58000.0,1
280012,1,64,30000.0,1
281001,61,1940,1155010.0,5
281003,5,124,64700.0,1
281004,9,463,280800.0,3
281005,1,2,1500.0,1
281006,7,296,160313.0,1
281010,1,46,33000.0,1
281066,1,14,10000.0,1
281101,1,59,20000.0,1
281121,13,421,286701.0,3
281122,4,28,4000.0,1
281123,1,40,8500.0,1
281203,1,21,10000.0,1
281204,1,48,33000.0,1
281301,1,58,30000.0,1
281302,1,29,15000.0,1
281306,3,89,42000.0,1
281307,1,61,30000.0,1
281401,1,1,1100.0,1
281403,6,161,109720.0,4
281406,1,8,8500.0,1
281501,3,82,47000.0,3
281502,1,29,21800.0,1
281504,4,185,76000.0,1
282001,206,5947,3342770.0,7
282002,206,5136,2863191.0,7
282003,15,254,145800.0,1
282004,15,442,265100.0,1
282005,31,1026,588200.0,1
282006,36,1124,643400.0,4
282007,105,3518,2012900.0,4
282008,3,108,65000.0,1
282009,10,373,209600.0,2
282010,19,615,357600.0,2
282101,1,33,21000.0,1
282203,1,1,1000.0,1
283101,8,206,115000.0,3
283102,3,84,53000.0,1
283103,1,17,10000.0,1
283104,4,131,63000.0,1
283105,8,271,141800.0,1
283110,3,219,106400.0,1
283111,6,213,112000.0,1
283112,2,92,48000.0,1
283114,5,253,133000.0,1
283121,2,59,37200.0,1
283122,1,31,25000.0,1
283123,2,130,71000.0,1
283124,2,45,31000.0,1
283125,16,471,232700.0,2
283126,1,29,21000.0,1
283135,9,307,203600.0,1
283136,1,28,22000.0,1
283142,1,78,38000.0,1
283151,8,296,147500.0,1
283202,1,31,20000.0,1
283203,59,2075,1173100.0,3
283204,15,576,357200.0,3
283205,1,27,18000.0,1
283206,1,53,30500.0,1
284001,10,156,110100.0,4
284002,3,93,73300.0,3
284003,9,469,284400.0,5
284006,1,6,10500.0,1
284126,1,70,30000.0,1
284128,1,15,10000.0,1
284135,1,62,33000.0,1
284204,2,111,48000.0,2
284205,1,86,38000.0,1
284403,3,73,44000.0,3
285001,6,235,138100.0,3
285123,1,6,3600.0,1
285128,1,30,20000.0,1
289871,1,8,8500.0,1
290111,1,1,1000.0,1
292001,1,62,33000.0,1
300053,1,1,1000.0,1
301001,20,622,389850.0,7
301007,1,48,30000.0,1
301018,1,69,38000.0,1
301019,11,480,298070.0,4
301030,1,17,10000.0,1
301302,1,1,1000.0,1
301404,1,32,20000.0,1
301405,1,20,24400.0,1
301411,1,81,55000.0,1
301702,1,1,1000.0,1
301703,1,51,30000.0,1
301705,5,160,114400.0,3
301706,1,82,38000.0,1
301707,2,76,48415.0,2
302001,28,921,565500.0,9
302002,28,567,334380.0,8
302003,15,448,271800.0,3
302004,27,786,439100.0,11
302006,21,705,434969.0,2
302007,30,1103,607984.0,2
302008,1,24,18000.0,1
302009,7,136,75700.0,1
302010,1,20,20000.0,1
302012,122,3337,2032652.0,10
302013,13,488,307700.0,2
302015,75,1550,922678.1,6
302016,25,659,411168.0,5
302017,73,2341,1480569.0,4
302018,10,225,148500.0,3
302019,33,1028,612100.0,2
302020,64,2078,1209110.0,3
302021,34,879,514614.0,2
302022,9,416,254000.0,2
302023,2,8,6900.0,2
302024,25,726,484299.0,1
302026,18,633,363200.0,2
302027,6,234,150098.0,1
302028,6,224,154900.0,2
302029,36,1048,653801.0,4
302031,12,133,93700.0,7
302032,5,120,75469.0,1
302033,23,667,406300.0,1
302034,5,132,65100.0,1
302036,1,5,5000.0,1
302038,1,71,38000.0,1
302039,15,657,356000.0,2
302041,1,51,30000.0,1
302042,2,68,45000.0,1
302721,2,137,71500.0,1
303006,1,55,40200.0,1
303007,3,47,41000.0,1
303008,1,29,15000.0,1
303012,4,145,95000.0,1
303103,3,147,100500.0,2
303104,1,16,10000.0,1
303108,3,64,38500.0,2
303120,1,7,10500.0,1
303121,2,45,15000.0,2
303301,3,52,32000.0,1
303303,3,27,21700.0,1
303313,9,146,82500.0,5
303328,2,61,33000.0,1
303329,2,27,20000.0,2
303338,1,1,1000.0,1
303503,3,19,12000.0,1
303504,1,1,1000.0,1
303604,3,197,101000.0,1
303701,1,1,700.0,1
303702,5,98,64000.0,1
303704,1,1,0.0,1
303706,1,38,21000.0,1
303804,1,23,20000.0,1
303806,1,46,33000.0,1
303901,1,78,38000.0,1
303903,1,62,33000.0,1
303904,1,28,0.0,1
303905,8,146,99300.0,1
303908,2,26,21000.0,1
304001,13,621,337100.0,3
304021,5,215,136000.0,1
304022,1,6,5000.0,1
304023,2,88,46700.0,1
304502,1,42,15000.0,1
304804,3,31,21000.0,1
305001,27,1135,638500.0,4
305003,1,52,30000.0,1
305004,1,28,21000.0,1
305007,1,1,1000.0,1
305009,3,117,65000.0,1
305201,1,29,10000.0,1
305202,3,87,50000.0,1
305303,1,22,11000.0,1
305601,3,48,36700.0,2
305612,1,28,19700.0,1
305624,1,2,0.0,1
305801,4,140,89000.0,2
305802,4,64,50300.0,2
305809,1,13,10000.0,1
305901,6,279,173600.0,2
306104,2,27,22500.0,2
306304,1,77,30000.0,1
306308,2,45,41830.0,1
306401,6,128,83700.0,3
306406,1,31,18000.0,1
307007,1,56,30000.0,1
307022,2,16,0.0,1
307026,1,18,10500.0,1
307201,1,38,15000.0,1
310019,1,49,30000.0,1
311001,11,290,176300.0,3
311021,1,64,53380.0,1
311402,1,25,15000.0,1
311602,1,31,25200.0,1
311805,1,33,30000.0,1
312001,7,157,111075.0,6
312401,1,51,33000.0,1
312605,1,47,30000.0,1
312708,1,49,33000.0,1
313001,16,608,370200.0,6
313002,1,13,9300.0,1
313038,1,60,21500.0,1
313301,1,94,50000.0,1
313324,1,55,30000.0,1
313342,1,33,33900.0,1
313705,1,33,22000.0,1
313905,1,5,2100.0,1
314001,4,41,32600.0,2
314011,1,90,38000.0,1
314022,1,74,38500.0,1
317205,2,66,40000.0,1
319930,1,18,22000.0,1
319950,1,21,22000.0,1
320008,1,9,5000.0,1
321001,10,472,281800.0,2
321022,1,1,1000.0,1
321202,1,67,38000.0,1
321302,1,27,20000.0,1
321303,1,62,33000.0,1
321401,2,76,58000.0,1
321404,1,9,469.0,1
321601,1,27,22000.0,1
321633,2,89,48000.0,1
322001,4,31,22000.0,1
322024,1,16,10500.0,1
322201,12,362,222000.0,4
322230,4,75,61569.8,3
322241,4,219,126450.0,1
322709,1,18,16700.0,1
323001,2,12,10500.0,1
323305,1,60,30000.0,1
324001,11,400,217200.0,2
324002,1,1,2000.0,1
324004,1,26,21000.0,1
324005,1,54,33000.0,1
324006,6,256,141000.0,3
324009,1,20,22000.0,1
325006,1,14,12100.0,1
325205,1,1,1000.0,1
326001,2,60,40900.0,1
326037,1,56,38000.0,1
326514,1,75,38000.0,1
327001,6,70,51500.0,2
327032,1,58,42500.0,1
327602,2,70,40000.0,1
327605,1,9,10000.0,1
328001,5,126,72000.0,2
328021,3,104,57700.0,2
328022,2,106,53000.0,1
328023,1,67,38000.0,1
328024,5,194,97000.0,2
331001,6,220,126000.0,3
331029,1,73,50000.0,1
331304,2,137,88000.0,1
331802,1,27,33000.0,1
332001,12,385,218000.0,1
332301,3,63,32000.0,1
