area,city,state,clinic_code,new_clinic_code,opening_date,address,landmark,location
,Kolkata ,West Bengal ,WBKOL01,WBKOL01-NJ,2025-03-08,"54/1/3, Hazra Rd, Dover Terrace, Ballygunge, Kolkata, West Bengal 700019",Opp. Hazra Law College,
,Ranchi,Jharkhand ,JHRNC01,JHRNC01-KK,2025-03-18,"2nd floor Karni Heights beside Ranchi Club Club Road, Sujata, Chowk, Mahatma Gandhi Main Rd, opposite to Gossner College, Ranchi, Jharkhand 834001",Beside Ranchi Club,
,Guwahati,Assam,ASGUW01,ASGUW01-AP,2025-03-22,"CHITTCHORE- BIKANER GHARANA, Gynoveda Fertility Clinic, Sohum Emporia, GS Rd, ABC Point, Bhangagarh, Guwahati, Assam 781005",Near ABC Point,
,Pune,Maharashtra ,MHPUN02,MHPUN02-PS,2025-03-26,"1st Floor Shop no 7& 8, Pk Hillcrest, Near PK international School Jarvari Road, Kunal Icon Rd, Pimple Saudagar, Pune, Maharashtra 411027",Near PK international School,
,Chennai,Tamil Nadu ,TNCHE01,TNCHE01-AN,2025-03-29,"no 7, New no 79, 1st floor, Old, 2nd Ave, next to Malabar Gold Jewelry Shop, AA Block, Anna Nagar, Chennai, Tamil Nadu 600040",Next to Malabar Jewellers,
,Rajkot,Gujarat ,GJRAJ01,GJRAJ01-RR,2025-04-05,"Shop no 7, West Gate Plus, 150 Feet Ring Rd, Near Raiya Circle, Rajkot, Gujarat 360007",Near Raiya circle,
 ,Raipur,Chattisgarh ,CGRAI01,CGRAI01-SN,2025-04-12,"Unit No 2, 2nd floor, MS5 tower, Shankar Nagar Rd, Shankar Nagar, Raipur, Chhattisgarh 492004",next to Aarogya Hospital,
,Bhubaneswar ,Odisha,ODBBS01,ODBBS01-JP,2025-04-19,"2nd Floor, Narula Market Complex, Sriya Square, Plot No - 501, Janpath Rd, Master Canteen Area, Kharvela Nagar, Bhubaneswar, Odisha 751001",Near Sriya Traffic Square,
,Siliguri ,West Bengal ,WBSGU01,WBSGU01-SR,2025-04-26,"Shop No. 8 First Floor, City Plaza, Sevoke Rd, opp. Payel Cinema Hall, Ward 40, Haidar Para, Siliguri, West Bengal 734001",Opp. Payel Cinema Hall,
,Margao,Goa,GAMAR01,GAMAR01-PF,2025-05-03,"1st Floor, Guru Sai Plaza, Office no 105, Isidorio Baptista Rd, Pajifond, Madgaon, Goa 403601",Near Big G Shopping centre,
,Patna,Bihar,BRPAT01,BRPAT01-KB,2025-05-10,"3rd Floor, Oppo. Chandan automobile, Wakefit Building, Kankarbagh Main Rd, Ghrounda, Patna, Bihar 800001",Above Wakfit Kankar bagh main road,
,Dimapur,Nagaland,NLDIM01,NLDIM01-DB,2025-05-17,"1st Floor, House No. 323, Merang's Lane 20, Duncan Rd, above Smart Point, near West Police Station, Landmark Colony, Dimapur, Nagaland 797112", (Near West Police Station),
,Nashik ,Maharashtra ,MHNSK01,MHNSK01-CC,2025-05-24,"Second Floor, Padma Vishwa Business Hub, Office No, 1 & 2, Canada Corner, Nashik, Maharashtra 422005",Chandukaka Saraf & Sons ,
,Indore,Madhya Pradesh ,MPIND01,MPIND01-AN,2025-05-31,"Ground Floor, Business Bay, Shop No G 3, Plot no. 2 & 3, AB Rd, Anoop Nagar, Indore, Madhya Pradesh 452001",Opp. CHL Hospital,
,Bhopal ,Madhya Pradesh ,MPBHO01,MPBHO01-AC,2025-06-14,"2nd floor, Part Portion of, E-3/52, Arera Colony, Bhopal, Madhya Pradesh 462016",Opp. CROMA 10 number Market,
,Dehradun ,Uttarakhand ,UKDED01,UKDED01-BP,2025-06-21,"Khasra No. 1080, 1st Floor, H M Tower, Municipal No. 39, Present. 192/169, Mauza Gahri Pargana Central Doon, II, Ballupur Rd, opposite Bharat Petrol Pump, Dehradun, Uttarakhand 248001","Ballupur Rd, opp. Nexa Showroom, Vijay Park",
