State,City,clinic_firsttime_qty,clinic_total_revenue,clinic_pincodes
Uttar Pradesh,Kanpur,22089,16536901.0,34
Uttar Pradesh,Kanpur Dehat,87,64000.0,2
Uttar Pradesh,Kanpur Nagar,67,55500.0,2
Uttar Pradesh,Kaushambi,638,515500.0,7
Uttar Pradesh,Kheri,510,380000.0,11
Uttar Pradesh,Kushinagar,383,280500.0,7
Uttar Pradesh,Lalitpur,111,71000.0,2
Uttar Pradesh,Lucknow,20197,16506418.03,51
Uttar Pradesh,Maharajganj,367,260400.0,7
Uttar Pradesh,Mainpuri,732,593000.0,6
Uttar Pradesh,Mathura,1107,799700.0,16
Uttar Pradesh,Mau,354,284500.0,4
Uttar Pradesh,Meerut,3990,2706600.0,11
Uttar Pradesh,Mirzapur,1256,985300.0,12
Uttar Pradesh,Moradabad,1481,1070671.0,7
Uttar Pradesh,Muzaffarnagar,751,547600.0,8
Uttar Pradesh,Nalanda,517,367000.0,1
Uttar Pradesh,Nawada,30,18000.0,1
Uttar Pradesh,Noida,277,196900.0,1
Uttar Pradesh,Patna,182,119500.0,1
Uttar Pradesh,Pilibhit,169,118050.0,1
Uttar Pradesh,Pratapgarh,650,505400.0,14
Uttar Pradesh,Prayagraj,2,2400.0,1
Uttar Pradesh,Raebareli,626,514000.0,11
Uttar Pradesh,Rampur,268,233500.0,2
Uttar Pradesh,Saharanpur,1463,953900.0,10
Uttar Pradesh,Sant Kabir Nagar,259,211000.0,6
Uttar Pradesh,Sant Ravidas Nagar,267,214300.0,5
Uttar Pradesh,Shahjahanpur,568,426774.0,3
Uttar Pradesh,Shravasti,24,21000.0,1
Uttar Pradesh,Shrawasti,273,200590.0,3
Uttar Pradesh,Siddharthnagar,291,232000.0,7
Uttar Pradesh,Sidhi,52,40500.0,1
Uttar Pradesh,Singrauli,46,33000.0,1
Uttar Pradesh,Sitapur,834,677200.0,10
Uttar Pradesh,Sonbhadra,562,480000.0,9
Uttar Pradesh,Sultanpur,667,542500.0,16
Uttar Pradesh,Unnao,849,573300.0,9
Uttar Pradesh,Varanasi,8536,7127410.0,32
Uttarakhand,Almora,56,38600.0,1
Uttarakhand,Chamoli,46,44000.0,2
Uttarakhand,Champawat,103,63500.0,2
Uttarakhand,Dehradun,6797,4461009.0,18
Uttarakhand,Haridwar,1012,629700.0,12
Uttarakhand,Nainital,109,80400.0,3
Uttarakhand,Pauri Garhwal,158,114900.0,4
Uttarakhand,Pithoragarh,75,49400.0,2
Uttarakhand,Rudraprayag,144,82000.0,3
Uttarakhand,Tehri Garhwal,34,28000.0,2
Uttarakhand,Udham Singh Nagar,186,150100.0,4
Uttarakhand,Uttarkashi,139,93000.0,3
West Bengal,Alipurduar,1901,1275500.03,15
West Bengal,Bankura,907,650000.0,15
West Bengal,Bardhaman,46,46500.0,2
West Bengal,Birbhum,960,712000.0,19
West Bengal,Cooch Behar,3178,2193600.02,20
West Bengal,Darjiling,6947,4951866.0,31
West Bengal,East Midnapore,1776,1381700.0,35
West Bengal,Hooghly,4717,3581175.0,65
West Bengal,Howrah,5685,4195900.0,45
West Bengal,Jalpaiguri,3652,2527300.03,28
West Bengal,Kalimpong,212,149099.0,2
West Bengal,Kolkata,10453,7937853.6,75
West Bengal,Malda,2243,1615501.01,27
West Bengal,Murshidabad,2954,2212300.0,43
West Bengal,Nadia,3607,2680800.0,48
West Bengal,North 24 Parganas,11286,8564053.0,110
West Bengal,North Dinajpur,3257,2195400.01,17
West Bengal,Paschim Bardhaman,882,657500.0,16
West Bengal,Port Blair,2,1000.0,1
West Bengal,Purba Bardhaman,3012,2234000.0,49
West Bengal,Purulia,490,383900.0,12
West Bengal,South 24 Parganas,8125,6183100.0,61
West Bengal,South Dinajpur,309,213500.0,8
West Bengal,West Midnapore,2367,1672700.0,40
West Bengal,West Sikkim,45,30000.0,1
