Year,State,total_orders,total_revenue
2024,Sikkim,227,555268.2
2024,Tamil Nadu,927,2160343.4
2024,Telangana,1507,3731976.7
2024,Tripura,194,540415.0
2024,Uttar Pradesh,4423,11749360.93
2024,Uttarakhand,800,2075493.15
2024,West Bengal,2331,6090810.0
2025,-,45,107222.0
2025,Andaman & Nicobar Islands,11,26601.0
2025,Andaman and Nicobar Islands,5,11725.0
2025,Andhra Pradesh,206,494617.4
2025,Arunachal Pradesh,314,763132.0
2025,Assam,760,1919650.9
2025,Bihar,311,886237.3
2025,Chandigarh,51,121931.0
2025,Chhattisgarh,304,816668.0
2025,Dadra and Nagar Haveli,5,19250.0
2025,Dadra and Nagar Haveli and Daman and Diu,9,22631.0
2025,Daman and Diu,3,10050.0
2025,Delhi,619,1373151.0
2025,England,6,5040.0
2025,Goa,138,330054.0
2025,Gujarat,762,1972386.2
2025,Haryana,552,1259136.0
2025,Himachal Pradesh,129,323377.4
2025,Jammu & Kashmir,126,314177.6
2025,Jammu and Kashmir,98,287750.0
2025,Jharkhand,222,647069.0
2025,Karnataka,867,2136353.3
2025,Kerala,122,271672.0
2025,Madhya Pradesh,451,1177497.9
2025,Maharashtra,1607,3873961.1
2025,Manipur,226,611980.0
2025,Meghalaya,241,545685.0
2025,Mizoram,48,131621.0
2025,Nagaland,235,566078.7
2025,Odisha,410,1049976.5
2025,Puducherry,7,17651.0
2025,Punjab,568,1364516.0
2025,Rajasthan,398,1024500.2
2025,Sikkim,130,318778.0
2025,Tamil Nadu,360,842837.5
2025,Telangana,455,1081930.2
2025,Tripura,79,200007.1
2025,Uttar Pradesh,1265,3384529.7
2025,Uttarakhand,214,508871.7
2025,West Bengal,727,1841938.2
