State,City,total_orders,total_revenue,unique_pincodes
Uttar Pradesh,Farrukhabad,164,329579.95,14
Uttar Pradesh,Fatehpur,130,281533.05,15
Uttar Pradesh,Firozabad,211,409251.75,13
Uttar Pradesh,Gautam Buddha Nagar,6073,10758942.33,22
Uttar Pradesh,Ghaziabad,5779,10380965.16,34
Uttar Pradesh,Ghazipur,168,320247.0,36
Uttar Pradesh,Gonda,175,356582.85,26
Uttar Pradesh,Gorakhpur,831,1699042.13,37
Uttar Pradesh,Hamirpur,94,190260.75,14
Uttar Pradesh,Hardoi,214,446251.35,18
Uttar Pradesh,Hathras,275,514149.74,9
Uttar Pradesh,Jalaun,1151,1500221.4,13
Uttar Pradesh,Jaunpur,222,407953.4,30
Uttar Pradesh,Jhansi,572,1126425.94,18
Uttar Pradesh,Jyotiba Phule Nagar,199,382372.35,11
Uttar Pradesh,Kannauj,70,147791.15,9
Uttar Pradesh,Kanpur,2024,3870019.75,57
Uttar Pradesh,Kaushambi,171,349596.15,15
Uttar Pradesh,Kheri,248,524196.19,24
Uttar Pradesh,Kushinagar,160,354907.35,18
Uttar Pradesh,Lalitpur,77,153594.4,5
Uttar Pradesh,Lucknow,4899,9246101.04,183
Uttar Pradesh,Maharajganj,111,231352.2,16
Uttar Pradesh,Mahoba,9,17911.0,3
Uttar Pradesh,Mainpuri,122,241708.2,11
Uttar Pradesh,Mathura,375,739483.33,22
Uttar Pradesh,Mau,67,134781.05,7
Uttar Pradesh,Meerut,1157,2134730.97,21
Uttar Pradesh,Mirzapur,173,350146.9,15
Uttar Pradesh,Moradabad,727,1416213.35,23
Uttar Pradesh,Muzaffarnagar,466,843312.45,26
Uttar Pradesh,Noida,118,248167.35,1
Uttar Pradesh,Pilibhit,166,306012.15,6
Uttar Pradesh,Pratapgarh,131,270194.05,29
Uttar Pradesh,Raebareli,292,594935.7,36
Uttar Pradesh,Rampur,259,494975.7,6
Uttar Pradesh,Saharanpur,518,963792.83,19
Uttar Pradesh,Sant Kabir Nagar,13,30356.25,5
Uttar Pradesh,Sant Ravidas Nagar,50,99322.2,8
Uttar Pradesh,Shahjahanpur,259,507608.9,15
Uttar Pradesh,Shrawasti,75,154327.4,6
Uttar Pradesh,Siddharthnagar,94,205387.15,18
Uttar Pradesh,Sitapur,201,399509.05,19
Uttar Pradesh,Sonbhadra,203,414954.7,16
Uttar Pradesh,Sultanpur,200,385846.3,31
Uttar Pradesh,Unnao,207,446899.5,14
Uttar Pradesh,Varanasi,1239,2348167.78,36
Uttarakhand,Almora,232,473178.65,16
Uttarakhand,Bageshwar,46,94404.3,6
Uttarakhand,Chamoli,90,192352.15,18
Uttarakhand,Champawat,128,226456.7,5
Uttarakhand,Dehradun,3421,6322062.22,63
Uttarakhand,Haridwar,883,1638242.57,18
Uttarakhand,Nainital,784,1440812.6,14
Uttarakhand,Pauri Garhwal,276,521643.1,16
Uttarakhand,Pithoragarh,144,307994.48,15
Uttarakhand,Rudraprayag,41,83299.2,8
Uttarakhand,Tehri Garhwal,108,238085.8,13
Uttarakhand,Udham Singh Nagar,532,1017246.33,13
Uttarakhand,Uttarkashi,69,158765.2,7
West Bengal,Alipurduar,333,639374.2,21
West Bengal,Ambari,1,299.0,1
West Bengal,Bankura,189,394904.95,31
West Bengal,Birbhum,255,507994.7,32
West Bengal,Cooch Behar,286,570789.08,21
West Bengal,Dakshin Dinajpur,2,5875.0,1
West Bengal,Darjiling,2160,3927708.12,52
West Bengal,East Midnapore,318,609385.35,55
West Bengal,Hooghly,823,1606562.25,76
West Bengal,Howrah,979,1952342.31,49
West Bengal,Jalpaiguri,525,1037783.15,34
West Bengal,Kalimpong,241,419797.1,5
West Bengal,Khamgaon,1,1400.0,1
West Bengal,Kolkata,4691,8307303.97,135
West Bengal,Malda,390,835357.03,31
West Bengal,Murshidabad,369,749448.05,54
West Bengal,Nadia,541,1074377.65,65
West Bengal,North 24 Parganas,3461,6539833.77,127
West Bengal,North Dinajpur,278,533772.79,17
West Bengal,Paschim Bardhaman,494,980351.4,31
West Bengal,Purba Bardhaman,1003,1860872.95,74
West Bengal,Purulia,211,409956.25,25
West Bengal,South 24 Parganas,1380,2583390.92,58
West Bengal,South Dinajpur,63,116796.55,9
West Bengal,Uttar Dinajpur,1,975.0,1
West Bengal,West Midnapore,637,1220519.95,59
